locus_tag	ftype	length_bp	gene	EC_number	COG	product
Zymos_Lf_00001	CDS	528		1.-.-.-		putative oxidoreductase
Zymos_Lf_00002	CDS	300	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
Zymos_Lf_00003	CDS	390	ytbE	1.-.-.-	COG0656	putative oxidoreductase YtbE
Zymos_Lf_00004	CDS	195				hypothetical protein
Zymos_Lf_00005	CDS	153				hypothetical protein
Zymos_Lf_00006	CDS	93				hypothetical protein
Zymos_Lf_00007	CDS	1287				ISL3 family transposase ISL3
Zymos_Lf_00008	CDS	456				hypothetical protein
Zymos_Lf_00009	CDS	1251				IS200/IS605 family transposase ISLjo5
Zymos_Lf_00010	CDS	567				hypothetical protein
Zymos_Lf_00011	CDS	792				hypothetical protein
Zymos_Lf_00012	CDS	1539				hypothetical protein
Zymos_Lf_00013	CDS	1863				hypothetical protein
Zymos_Lf_00014	CDS	792				hypothetical protein
Zymos_Lf_00015	CDS	879	isdE			High-affinity heme uptake system protein IsdE
Zymos_Lf_00016	CDS	927	isdF			putative heme-iron transport system permease protein IsdF
Zymos_Lf_00017	CDS	762	fepC		COG1120	Ferric enterobactin transport ATP-binding protein FepC
Zymos_Lf_00018	CDS	1305	kgtP			Alpha-ketoglutarate permease
Zymos_Lf_00019	CDS	813				hypothetical protein
Zymos_Lf_00020	CDS	930				hypothetical protein
Zymos_Lf_00021	CDS	840	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
Zymos_Lf_00022	rRNA	1573				16S ribosomal RNA
Zymos_Lf_00023	rRNA	2917				23S ribosomal RNA
Zymos_Lf_00024	rRNA	112				5S ribosomal RNA
Zymos_Lf_00025	CDS	972		1.1.1.-		Putative 2-hydroxyacid dehydrogenase
Zymos_Lf_00026	CDS	339	pucG_1	2.6.1.112	COG0075	(S)-ureidoglycine--glyoxylate transaminase
Zymos_Lf_00027	CDS	807	pucG_2	2.6.1.112	COG0075	(S)-ureidoglycine--glyoxylate transaminase
Zymos_Lf_00028	CDS	297				hypothetical protein
Zymos_Lf_00029	CDS	228				hypothetical protein
Zymos_Lf_00030	CDS	258				hypothetical protein
Zymos_Lf_00031	CDS	936	arcC1_1	2.7.2.2		Carbamate kinase 1
Zymos_Lf_00032	CDS	528	rihA_1	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
Zymos_Lf_00033	CDS	213	rihA_2	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
Zymos_Lf_00034	CDS	648	cnbA	1.7.1.16		Chloronitrobenzene nitroreductase
Zymos_Lf_00035	CDS	732				hypothetical protein
Zymos_Lf_00036	CDS	315				hypothetical protein
Zymos_Lf_00037	CDS	1041	adh_1	1.1.1.1	COG1063	Alcohol dehydrogenase
Zymos_Lf_00038	CDS	2526	pepN	3.4.11.2		Aminopeptidase N
Zymos_Lf_00039	CDS	456				hypothetical protein
Zymos_Lf_00040	CDS	1251				IS200/IS605 family transposase ISLjo5
Zymos_Lf_00041	CDS	417				hypothetical protein
Zymos_Lf_00042	CDS	546				hypothetical protein
Zymos_Lf_00043	CDS	765	nfrA1	1.5.1.38	COG0778	FMN reductase (NADPH)
Zymos_Lf_00044	tRNA	76				tRNA-Thr(ggt)
Zymos_Lf_00045	CDS	849			COG1464	Membrane lipoprotein TpN32
Zymos_Lf_00046	CDS	1164	napA			Na(+)/H(+) antiporter
Zymos_Lf_00047	CDS	2319	helD_1	3.6.4.12	COG3973	DNA helicase IV
Zymos_Lf_00048	CDS	939	ppx_1	3.6.1.11	COG0248	Exopolyphosphatase
Zymos_Lf_00049	CDS	1278	mvaA	1.1.1.88		3-hydroxy-3-methylglutaryl-coenzyme A reductase
Zymos_Lf_00050	CDS	984				hypothetical protein
Zymos_Lf_00051	CDS	699	cobB	2.3.1.286	COG0846	NAD-dependent protein deacetylase
Zymos_Lf_00052	CDS	1176	tetA			Tetracycline resistance protein, class B
Zymos_Lf_00053	CDS	843				hypothetical protein
Zymos_Lf_00054	CDS	2001	metG	6.1.1.10		Methionine--tRNA ligase
Zymos_Lf_00055	CDS	789	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
