locus_tag	ftype	length_bp	gene	EC_number	COG	product
Zymos_BS_00001	CDS	498				hypothetical protein
Zymos_BS_00002	CDS	423	yjlC		COG2427	putative protein YjlC
Zymos_BS_00003	CDS	1179	yjlD	1.6.99.-	COG1252	NADH dehydrogenase-like protein YjlD
Zymos_BS_00004	CDS	1410	uxaC	5.3.1.12	COG1904	Uronate isomerase
Zymos_BS_00005	CDS	1380	yjmB		COG2211	putative symporter YjmB
Zymos_BS_00006	CDS	1014	yjmC	1.1.1.-	COG2055	putative oxidoreductase YjmC
Zymos_BS_00007	CDS	1020	yjmD	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YjmD
Zymos_BS_00008	CDS	1080	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
Zymos_BS_00009	CDS	837	uxuB	1.-.-.-	COG1028	putative oxidoreductase UxuB
Zymos_BS_00010	CDS	1269	exuT			Hexuronate transporter
Zymos_BS_00011	CDS	1002	exuR		COG1609	putative HTH-type transcriptional repressor ExuR
Zymos_BS_00012	CDS	1449	uxaB	1.1.1.58	COG0246	Altronate oxidoreductase
Zymos_BS_00013	CDS	1494	uxaA	4.2.1.7	COG2721	Altronate dehydratase
Zymos_BS_00014	CDS	765				hypothetical protein
Zymos_BS_00015	CDS	465	yjoA		COG2318	putative protein YjoA
Zymos_BS_00016	CDS	1272	yjoB	3.-.-.-	COG0465	putative ATPase YjoB
Zymos_BS_00017	CDS	1131	rapA_1	3.1.-.-	COG0457	Response regulator aspartate phosphatase A
Zymos_BS_00018	CDS	135				hypothetical protein
Zymos_BS_00019	CDS	255				hypothetical protein
Zymos_BS_00020	CDS	954	cwlA_1	3.5.1.28	COG3409	N-acetylmuramoyl-L-alanine amidase CwlA
Zymos_BS_00021	CDS	378				hypothetical protein
Zymos_BS_00022	CDS	603				hypothetical protein
Zymos_BS_00023	CDS	837	ydbD_1	1.11.1.6	COG3546	putative manganese catalase
Zymos_BS_00024	CDS	597				hypothetical protein
Zymos_BS_00025	CDS	342	xre		COG1396	HTH-type transcriptional regulator Xre
Zymos_BS_00026	CDS	180				hypothetical protein
Zymos_BS_00027	CDS	837				hypothetical protein
Zymos_BS_00028	CDS	636	dnaA_1			Chromosomal replication initiator protein DnaA
Zymos_BS_00029	CDS	168				hypothetical protein
Zymos_BS_00030	CDS	96				hypothetical protein
Zymos_BS_00031	CDS	360				hypothetical protein
Zymos_BS_00032	CDS	207				hypothetical protein
Zymos_BS_00033	CDS	510				hypothetical protein
Zymos_BS_00034	CDS	795				hypothetical protein
Zymos_BS_00035	CDS	1302				hypothetical protein
Zymos_BS_00036	CDS	1491				hypothetical protein
Zymos_BS_00037	CDS	828	yqbD			putative protein YqbD
Zymos_BS_00038	CDS	936	xkdG			Phage-like element PBSX protein XkdG
Zymos_BS_00039	CDS	384	yqbG			putative protein YqbG
Zymos_BS_00040	CDS	357	xkdH			Phage-like element PBSX protein XkdH
Zymos_BS_00041	CDS	486				hypothetical protein
Zymos_BS_00042	CDS	441				hypothetical protein
Zymos_BS_00043	CDS	1401				hypothetical protein
Zymos_BS_00044	CDS	444	xkdM			Phage-like element PBSX protein XkdM
Zymos_BS_00045	CDS	447	yqbN			putative protein YqbN
Zymos_BS_00046	CDS	5010				hypothetical protein
Zymos_BS_00047	CDS	708				hypothetical protein
Zymos_BS_00048	CDS	978				hypothetical protein
Zymos_BS_00049	CDS	267				hypothetical protein
Zymos_BS_00050	CDS	426				hypothetical protein
Zymos_BS_00051	CDS	1047				hypothetical protein
Zymos_BS_00052	CDS	579				hypothetical protein
Zymos_BS_00053	CDS	273				hypothetical protein
Zymos_BS_00054	CDS	2442				hypothetical protein
Zymos_BS_00055	CDS	327	xkdW			Phage-like element PBSX protein XkdW
Zymos_BS_00056	CDS	165				hypothetical protein
Zymos_BS_00057	CDS	840				hypothetical protein
Zymos_BS_00058	CDS	270				hypothetical protein
Zymos_BS_00059	CDS	264				hypothetical protein
Zymos_BS_00060	CDS	894	xlyA	3.5.1.28	COG1388	N-acetylmuramoyl-L-alanine amidase XlyA
Zymos_BS_00061	CDS	171	spoIISB			Stage II sporulation protein SB
Zymos_BS_00062	CDS	747	spoIISA			Stage II sporulation protein SA
Zymos_BS_00063	CDS	1002				hypothetical protein
Zymos_BS_00064	CDS	618				hypothetical protein
Zymos_BS_00065	CDS	1317	steT		COG0531	Serine/threonine exchanger SteT
Zymos_BS_00066	CDS	951	mhqA	1.13.11.-	COG0346	Putative ring-cleaving dioxygenase MhqA
Zymos_BS_00067	CDS	147				hypothetical protein
Zymos_BS_00068	CDS	2187				hypothetical protein
Zymos_BS_00069	CDS	972		2.4.-.-		putative glycosyltransferase
Zymos_BS_00070	CDS	1362	htrA_1	3.4.21.107	COG0265	Serine protease Do-like HtrA
Zymos_BS_00071	CDS	819	proC_1	1.5.1.2		Pyrroline-5-carboxylate reductase
Zymos_BS_00072	CDS	825	dppA	3.4.11.-	COG2362	D-aminopeptidase
Zymos_BS_00073	CDS	915	dppB		COG0601	Dipeptide transport system permease protein DppB
Zymos_BS_00074	CDS	972	dppC_1		COG1173	Dipeptide transport system permease protein DppC
Zymos_BS_00075	CDS	1008	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
Zymos_BS_00076	CDS	1632	dppE		COG4166	Dipeptide-binding protein DppE
Zymos_BS_00077	CDS	942	ykfA_1	3.4.16.-	COG1619	putative murein peptide carboxypeptidase
Zymos_BS_00078	CDS	1101	ykfB	5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
Zymos_BS_00079	CDS	891	ykfC	3.4.14.13	COG0791	Gamma-D-glutamyl-L-lysine dipeptidyl-peptidase
Zymos_BS_00080	CDS	990	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
Zymos_BS_00081	CDS	1047	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
Zymos_BS_00082	CDS	861		3.5.3.18	COG1834	N(G),N(G)-dimethylarginine dimethylaminohydrolase
Zymos_BS_00083	CDS	561				hypothetical protein
Zymos_BS_00084	CDS	1200	hmp	1.14.12.17	COG1017	Flavohemoprotein
Zymos_BS_00085	CDS	231				hypothetical protein
Zymos_BS_00086	CDS	732				hypothetical protein
Zymos_BS_00087	CDS	528				hypothetical protein
Zymos_BS_00088	CDS	516		2.3.1.-	COG1670	Acetyltransferase
Zymos_BS_00089	CDS	339	gdnC		COG2076	putative guanidinium efflux system subunit GdnC
Zymos_BS_00090	CDS	318	gdnD		COG2076	putative guanidinium efflux system subunit GdnD
Zymos_BS_00091	CDS	903	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
Zymos_BS_00092	CDS	1098	proB_1	2.7.2.11	COG0263	Glutamate 5-kinase 1
Zymos_BS_00093	CDS	1248	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
Zymos_BS_00094	CDS	426	ohrA		COG1764	Organic hydroperoxide resistance protein OhrA
Zymos_BS_00095	CDS	495	ohrR			Organic hydroperoxide resistance transcriptional regulator
Zymos_BS_00096	CDS	411	ohrB		COG1764	Organic hydroperoxide resistance protein OhrB
Zymos_BS_00097	CDS	1104				hypothetical protein
Zymos_BS_00098	CDS	471	guaD	3.5.4.3	COG0590	Guanine deaminase
Zymos_BS_00099	CDS	627	pspB	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
Zymos_BS_00100	CDS	2289	metE_1	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
Zymos_BS_00101	CDS	960	isp	3.4.21.-	COG1404	Major intracellular serine protease
Zymos_BS_00102	CDS	834	rsbRB		COG1366	RsbT co-antagonist protein RsbRB
Zymos_BS_00103	CDS	765	ykoC			Putative HMP/thiamine permease protein YkoC
Zymos_BS_00104	CDS	1641	ykoD	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
Zymos_BS_00105	CDS	600	ykoE		COG4721	Putative HMP/thiamine permease protein YkoE
Zymos_BS_00106	CDS	603	ykoF			Putative HMP/thiamine-binding protein YkoF
Zymos_BS_00107	CDS	687	arlR_1		COG0745	Response regulator ArlR
Zymos_BS_00108	CDS	1365	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
Zymos_BS_00109	CDS	675				hypothetical protein
Zymos_BS_00110	CDS	516	ykoJ		COG3212	putative protein YkoJ
Zymos_BS_00111	CDS	138				hypothetical protein
Zymos_BS_00112	CDS	123				hypothetical protein
Zymos_BS_00113	CDS	1356	mgtE		COG2239	Magnesium transporter MgtE
Zymos_BS_00114	CDS	333	tnrA		COG0789	HTH-type transcriptional regulator TnrA
Zymos_BS_00115	CDS	156				hypothetical protein
Zymos_BS_00116	CDS	183	ykoL			Stress response protein YkoL
Zymos_BS_00117	CDS	465	mhqR_1		COG1846	HTH-type transcriptional regulator MhqR
Zymos_BS_00118	CDS	1095	ugtP_1	2.4.1.315	COG0707	Processive diacylglycerol beta-glucosyltransferase
Zymos_BS_00119	CDS	642				hypothetical protein
Zymos_BS_00120	CDS	813	ypbG_1		COG1408	putative protein YpbG
Zymos_BS_00121	CDS	1695				hypothetical protein
Zymos_BS_00122	CDS	1014	ykoT	2.4.-.-		putative glycosyltransferase YkoT
Zymos_BS_00123	CDS	1836	ligd		COG1793	Bifunctional non-homologous end joining protein LigD
Zymos_BS_00124	CDS	885	ku		COG1273	Non-homologous end joining protein Ku
Zymos_BS_00125	CDS	2403				hypothetical protein
Zymos_BS_00126	CDS	636				hypothetical protein
Zymos_BS_00127	CDS	978				hypothetical protein
Zymos_BS_00128	CDS	756	sigI			RNA polymerase sigma factor SigI
Zymos_BS_00129	CDS	171				hypothetical protein
Zymos_BS_00130	CDS	1065	rsgI			Anti-sigma-I factor RsgI
Zymos_BS_00131	CDS	195	sspD			Small, acid-soluble spore protein D
Zymos_BS_00132	CDS	702				hypothetical protein
Zymos_BS_00133	CDS	897	htpX_1	3.4.24.-	COG0501	Protease HtpX
Zymos_BS_00134	CDS	1350	ktrB_1		COG0168	Ktr system potassium uptake protein B
Zymos_BS_00135	CDS	156				hypothetical protein
Zymos_BS_00136	CDS	171				hypothetical protein
Zymos_BS_00137	CDS	1023				hypothetical protein
Zymos_BS_00138	CDS	2217	kinE	2.7.13.3	COG2202	Sporulation kinase E
Zymos_BS_00139	CDS	498	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, constitutive
Zymos_BS_00140	CDS	126				hypothetical protein
Zymos_BS_00141	CDS	1062	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
Zymos_BS_00142	CDS	1194	mtnK	2.7.1.100	COG4857	Methylthioribose kinase
Zymos_BS_00143	CDS	702	yafV	3.5.1.3		Omega-amidase YafV
Zymos_BS_00144	CDS	1194	bacF_1	2.6.1.-	COG0436	Transaminase BacF
Zymos_BS_00145	CDS	1212	mtnW	5.3.2.5	COG1850	2,3-diketo-5-methylthiopentyl-1-phosphate enolase
Zymos_BS_00146	CDS	708	mtnX	3.1.3.87	COG4359	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase
Zymos_BS_00147	CDS	630	mtnB	4.2.1.109	COG0235	Methylthioribulose-1-phosphate dehydratase
Zymos_BS_00148	CDS	537	mtnD	1.13.11.54	COG1791	Acireductone dioxygenase
Zymos_BS_00149	CDS	321				hypothetical protein
Zymos_BS_00150	CDS	258	spo0E	3.1.3.-		Aspartyl-phosphate phosphatase Spo0E
Zymos_BS_00151	CDS	432				hypothetical protein
Zymos_BS_00152	CDS	1503	kinD	2.7.13.3		Sporulation kinase D
Zymos_BS_00153	CDS	438	mhqR_2		COG1846	HTH-type transcriptional regulator MhqR
Zymos_BS_00154	CDS	786	motB_1		COG1360	Motility protein B
Zymos_BS_00155	CDS	813	pomA_1		COG1291	Chemotaxis protein PomA
Zymos_BS_00156	CDS	2100	clpE		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpE
Zymos_BS_00157	CDS	1044				hypothetical protein
Zymos_BS_00158	CDS	660	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
Zymos_BS_00159	CDS	441	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
Zymos_BS_00160	CDS	732	queE_1	4.3.99.3	COG0602	7-carboxy-7-deazaguanine synthase
Zymos_BS_00161	CDS	498	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
Zymos_BS_00162	CDS	90				hypothetical protein
Zymos_BS_00163	CDS	243				hypothetical protein
Zymos_BS_00164	CDS	291	ykvR			putative protein YkvR
Zymos_BS_00165	CDS	186				hypothetical protein
Zymos_BS_00166	CDS	195				hypothetical protein
Zymos_BS_00167	CDS	630	ykvT		COG3773	putative protein YkvT
Zymos_BS_00168	CDS	1338	ykvU		COG2244	Sporulation protein YkvU
Zymos_BS_00169	CDS	498	stoA		COG0526	Sporulation thiol-disulfide oxidoreductase A
Zymos_BS_00170	CDS	159				hypothetical protein
Zymos_BS_00171	CDS	1914	zosA	3.6.3.-	COG2217	Zinc-transporting ATPase
Zymos_BS_00172	CDS	1095		3.4.-.-		putative peptidase
Zymos_BS_00173	CDS	126				hypothetical protein
Zymos_BS_00174	CDS	966	ccpB_1			Catabolite control protein B
Zymos_BS_00175	CDS	846	glcT		COG3711	PtsGHI operon antiterminator
Zymos_BS_00176	CDS	2100	ptsG	2.7.1.199	COG1263	PTS system glucose-specific EIICBA component
Zymos_BS_00177	CDS	267	ptsH_1		COG1925	Phosphocarrier protein HPr
Zymos_BS_00178	CDS	1713	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
Zymos_BS_00179	CDS	240				hypothetical protein
Zymos_BS_00180	CDS	1029	splB	4.1.99.14	COG1533	Spore photoproduct lyase
Zymos_BS_00181	CDS	681				hypothetical protein
