Assembler,Algorithm,Type,contigs,basepairs,max_contig,n50,mapped_reads,Ns,misassembled contigs,misassembly events,filtered_contigs,filtered_basepairs,filtered_n50,filtered_Ns,filtered_mapped_reads
ABySS,Single k-mer De Bruijn graph,Genomic,32429.67 [32428;32431],34563814.33 [34563647;34563949],841100.0 [841100;841100],124246.0 [124246;124246],98.63 [98;98],882.0 [881;883],2.0 [2;2],3.0 [3;3],498.0 [497;499],30988179.33 [30988165;30988200],138706.0 [138706;138706],611.33 [610;612],98.12 [98;98]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,943.0 [943;943],30509406.0 [30509406;30509406],768585.0 [768585;768585],121957.0 [121957;121957],98.94 [98;98],0.0 [0;0],1.0 [1;1],1.0 [1;1],657.0 [657;657],30343348.0 [30343348;30343348],122545.0 [122545;122545],0.0 [0;0],98.14 [98;98]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,1829.0 [1829;1829],30408932.0 [30408932;30408932],468323.0 [468323;468323],61771.67 [61704;61907],98.64 [98;98],0.0 [0;0],13.0 [13;13],22.0 [22;22],1254.0 [1254;1254],30145929.0 [30145929;30145929],63178.0 [63178;63178],0.0 [0;0],97.3 [97;97]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,979.0 [979;979],30599098.0 [30599036;30599129],768640.0 [768640;768640],171540.0 [171540;171540],99.05 [99;99],0.0 [0;0],10.0 [10;10],21.0 [21;21],518.0 [518;518],30418686.0 [30418624;30418717],171540.0 [171540;171540],0.0 [0;0],98.65 [98;98]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,884.33 [884;885],30381398.67 [30381152;30381792],468375.0 [468375;468375],106383.0 [106383;106383],98.03 [98;98],0.0 [0;0],0.0 [0;0],0.0 [0;0],712.0 [712;712],30262824.0 [30262824;30262824],106637.0 [106637;106637],0.0 [0;0],97.25 [97;97]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,761.0 [761;761],30482042.0 [30482042;30482042],917726.0 [917726;917726],208969.0 [208969;208969],98.77 [98;98],0.0 [0;0],1.0 [1;1],3.0 [3;3],365.0 [365;365],30402517.0 [30402517;30402517],208969.0 [208969;208969],0.0 [0;0],98.28 [98;98]
MINIA,Single k-mer De Bruijn graph,Genomic,16748.33 [16748;16749],30649478.33 [30648944;30649850],161812.0 [161812;161812],17967.0 [17967;17967],95.93 [95;95],0.0 [0;0],0.0 [0;0],0.0 [0;0],3574.0 [3574;3574],28218361.0 [28218335;28218378],20782.0 [20782;20782],0.0 [0;0],92.16 [92;92]
SKESA,Multiple k-mer De Bruijn graph,Genomic,1269.0 [1269;1269],30249132.0 [30249132;30249132],632013.0 [632013;632013],73839.0 [73839;73839],97.95 [97;97],0.0 [0;0],9.0 [9;9],18.0 [18;18],891.0 [891;891],30064811.0 [30064811;30064811],74138.0 [74138;74138],0.0 [0;0],97.24 [97;97]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,2628.0 [2628;2628],30664883.0 [30664883;30664883],850176.0 [850176;850176],206515.0 [206515;206515],98.7 [98;98],0.0 [0;0],0.0 [0;0],0.0 [0;0],412.0 [412;412],30354786.0 [30354786;30354786],208991.0 [208991;208991],0.0 [0;0],98.28 [98;98]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,656.0 [656;656],30301867.0 [30301867;30301867],1303875.0 [1303875;1303875],245050.0 [245050;245050],98.46 [98;98],0.0 [0;0],0.0 [0;0],0.0 [0;0],334.0 [334;334],30188943.0 [30188943;30188943],245050.0 [245050;245050],0.0 [0;0],97.61 [97;97]
VelvetOptimiser,Multiple k-mer De Bruijn graph,Genomic,11069.0 [11069;11069],30526291.0 [30526291;30526291],847777.0 [847777;847777],29176.0 [29176;29176],95.85 [95;95],4383.0 [4383;4383],6.0 [6;6],11.0 [11;11],3035.0 [3035;3035],28467054.0 [28467054;28467054],33291.0 [33291;33291],4383.0 [4383;4383],92.22 [92;92]
