Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,1032.33 [1032.0;1033.0],0.0 [0.0;0.0],4141.0 [4141.0;4141.0],3766.33 [3765.0;3767.0],400.0 [400.0;400.0],3699228.67 [3699134.0;3699276.0],0.91 [0.91;0.91],1140.33 [1140.0;1141.0],1.0 [1.0;1.0],0.97 [0.97;0.97],0.0 [0.0;0.0],0.0 [0.0;0.0],1.02 [1.02;1.02],1.02 [1.02;1.02],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,129.0 [129.0;129.0],0.03 [0.03;0.03],32498.0 [32498.0;32498.0],32478.0 [32478.0;32478.0],0.0 [0.0;0.0],3949224.0 [3949224.0;3949224.0],0.98 [0.98;0.98],205.0 [205.0;205.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,60.0 [60.0;60.0],0.05 [0.05;0.05],60909.0 [60909.0;60909.0],60909.0 [60909.0;60909.0],0.0 [0.0;0.0],3973445.0 [3973445.0;3973445.0],0.98 [0.98;0.98],94.0 [94.0;94.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],3.0 [3.0;3.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,67.0 [67.0;67.0],0.04 [0.04;0.04],53080.0 [53080.0;53080.0],51975.0 [51975.0;51975.0],0.0 [0.0;0.0],3970803.0 [3970803.0;3970803.0],0.98 [0.98;0.98],102.0 [102.0;102.0],1.0 [1.0;1.0],0.99 [0.99;0.99],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,31.0 [31.0;31.0],0.07 [0.07;0.07],122571.0 [122571.0;122571.0],124132.0 [124132.0;124132.0],0.0 [0.0;0.0],3984821.0 [3984821.0;3984821.0],0.98 [0.98;0.98],57.0 [57.0;57.0],1.0 [1.0;1.0],0.99 [0.99;0.99],1.0 [1.0;1.0],2.0 [2.0;2.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,31.0 [31.0;31.0],0.07 [0.07;0.07],115791.0 [115791.0;115791.0],115791.0 [115791.0;115791.0],0.0 [0.0;0.0],3978171.0 [3978171.0;3978171.0],0.98 [0.98;0.98],50.0 [50.0;50.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],3.0 [3.0;3.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,103.0 [103.0;103.0],0.03 [0.03;0.03],33942.0 [33942.0;33942.0],34464.0 [34464.0;34464.0],0.0 [0.0;0.0],3950745.0 [3950745.0;3950745.0],0.98 [0.98;0.98],208.0 [208.0;208.0],1.0 [1.0;1.0],1.0 [1.0;1.0],2.0 [2.0;2.0],4.0 [4.0;4.0],1.02 [1.02;1.02],1.02 [1.02;1.02],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,39.0 [39.0;39.0],0.07 [0.07;0.07],104069.0 [104069.0;104069.0],104069.0 [104069.0;104069.0],0.0 [0.0;0.0],3969664.0 [3969664.0;3969664.0],0.98 [0.98;0.98],65.0 [65.0;65.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
