Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,20.33 [0.0;31.0],0.06 [0.0;0.09],64259.33 [0.0;96389.0],64259.33 [0.0;96389.0],0.0 [0.0;0.0],1965053.0 [0.0;2953743.0],0.66 [0.0;0.99],33.33 [0.0;50.0],0.67 [0.0;1.0],0.66 [0.0;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],0.67 [0.0;1.01],0.67 [0.0;1.01],0.67 [0.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,12.0 [12.0;12.0],0.18 [0.18;0.18],452364.0 [452364.0;452364.0],155105.0 [155105.0;155105.0],0.0 [0.0;0.0],2945841.0 [2922175.0;2957674.0],0.98 [0.98;0.99],23.67 [23.0;24.0],1.0 [1.0;1.0],0.98 [0.98;0.98],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,108.0 [108.0;108.0],0.05 [0.05;0.05],27259.0 [27259.0;27259.0],25555.0 [25555.0;25555.0],0.0 [0.0;0.0],2915464.0 [2915464.0;2915464.0],0.97 [0.97;0.97],171.0 [171.0;171.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,6.0 [6.0;6.0],0.4 [0.4;0.4],542872.0 [542872.0;542872.0],542872.0 [542872.0;542872.0],0.0 [0.0;0.0],2948053.0 [2924395.0;2959882.0],0.99 [0.98;0.99],18.67 [18.0;19.0],1.0 [1.0;1.0],0.99 [0.99;0.99],1.0 [1.0;1.0],2.0 [2.0;2.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1222.0 [1221.0;1224.0],0.0 [0.0;0.0],0.0 [0.0;0.0],453834.0 [450667.0;455853.0],0.15 [0.15;0.15],359.67 [357.0;361.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,13.0 [13.0;13.0],0.16 [0.16;0.16],235115.0 [235115.0;235115.0],235115.0 [235115.0;235115.0],0.0 [0.0;0.0],2920851.0 [2920851.0;2920851.0],0.98 [0.98;0.98],25.0 [25.0;25.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,121.33 [121.0;122.0],0.03 [0.03;0.03],28142.0 [28142.0;28142.0],26901.0 [26654.0;27395.0],0.0 [0.0;0.0],2902800.33 [2895471.0;2912160.0],0.97 [0.97;0.97],185.0 [184.0;186.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,17.0 [17.0;17.0],0.15 [0.15;0.15],195967.0 [195967.0;195967.0],195967.0 [195967.0;195967.0],0.0 [0.0;0.0],2914137.0 [2914137.0;2914137.0],0.97 [0.97;0.97],31.0 [31.0;31.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,19.0 [19.0;19.0],0.12 [0.12;0.12],147676.0 [147676.0;147676.0],147676.0 [147676.0;147676.0],0.0 [0.0;0.0],2944434.0 [2944434.0;2944434.0],0.98 [0.98;0.98],37.0 [37.0;37.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,8.0 [8.0;8.0],0.24 [0.24;0.24],475179.0 [475179.0;475179.0],475179.0 [475179.0;475179.0],0.0 [0.0;0.0],2915510.0 [2915510.0;2915510.0],0.97 [0.97;0.97],17.0 [17.0;17.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
