Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,15.0 [15.0;15.0],0.31 [0.31;0.31],268668.0 [268668.0;268668.0],268668.0 [268668.0;268668.0],71.0 [71.0;71.0],2688567.0 [2688567.0;2688567.0],0.99 [0.99;0.99],28.0 [28.0;28.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.01 [1.01;1.01],1.01 [1.01;1.01],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1164.0 [1164.0;1164.0],0.0 [0.0;0.0],0.0 [0.0;0.0],131118.0 [131118.0;131118.0],0.05 [0.05;0.05],109.0 [109.0;109.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,24.0 [24.0;24.0],0.15 [0.15;0.15],112739.0 [112739.0;112739.0],108199.0 [108199.0;108199.0],0.0 [0.0;0.0],2679055.0 [2679055.0;2679055.0],0.99 [0.99;0.99],41.0 [41.0;41.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,42.0 [42.0;42.0],0.07 [0.07;0.07],53248.0 [53248.0;53248.0],51887.0 [51887.0;51887.0],0.0 [0.0;0.0],2661504.0 [2661504.0;2661504.0],0.98 [0.98;0.98],72.0 [72.0;72.0],0.99 [0.99;0.99],0.57 [0.57;0.57],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,19.0 [19.0;19.0],0.15 [0.15;0.15],126941.0 [126941.0;126941.0],126941.0 [126941.0;126941.0],0.0 [0.0;0.0],2681132.0 [2681132.0;2681132.0],0.99 [0.99;0.99],37.0 [37.0;37.0],1.0 [1.0;1.0],0.97 [0.97;0.97],1.0 [1.0;1.0],3.0 [3.0;3.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,42.0 [42.0;42.0],0.07 [0.07;0.07],53246.0 [53246.0;53246.0],51885.0 [51885.0;51885.0],0.0 [0.0;0.0],2667635.0 [2667635.0;2667635.0],0.98 [0.98;0.98],67.0 [67.0;67.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,13.0 [13.0;13.0],0.17 [0.17;0.17],204472.0 [204472.0;204472.0],204472.0 [204472.0;204472.0],0.0 [0.0;0.0],2682662.0 [2682662.0;2682662.0],0.99 [0.99;0.99],23.0 [23.0;23.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,112.0 [112.0;112.0],0.03 [0.03;0.03],29647.0 [29647.0;29647.0],29165.0 [29165.0;29165.0],0.0 [0.0;0.0],2600516.67 [2600515.0;2600518.0],0.96 [0.96;0.96],175.0 [175.0;175.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,38.0 [38.0;38.0],0.07 [0.07;0.07],73147.0 [73147.0;73147.0],63469.0 [63469.0;63469.0],0.0 [0.0;0.0],2661968.0 [2661968.0;2661968.0],0.98 [0.98;0.98],63.0 [63.0;63.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,11.0 [11.0;11.0],0.19 [0.19;0.19],280950.0 [280950.0;280950.0],280950.0 [280950.0;280950.0],0.0 [0.0;0.0],2678585.0 [2678585.0;2678585.0],0.99 [0.99;0.99],21.0 [21.0;21.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,5.0 [5.0;5.0],0.48 [0.48;0.48],394879.0 [394879.0;394879.0],394879.0 [394879.0;394879.0],0.0 [0.0;0.0],2678241.0 [2678241.0;2678241.0],0.99 [0.99;0.99],16.0 [16.0;16.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
