Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCALM2,0.0,0.0006355844358965073,1211.0,0.0,0.0,2349.0,0.0012328553591419453,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
GATBMiniaPipeline,0.0,0.0012097622830234925,2305.0,0.0,0.0,3877.0,0.0020348149116191237,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
IDBA-UD,0.0,0.0012097622830234925,2307.0,0.0,0.0,3877.0,0.0020348149116191237,2.0,0.9995665366276549,0.99913307325531,0.0,0.0,1.0,1.0005158627805004,0.9994844031967002
MEGAHIT,0.0,0.0012097622830234925,2337.0,0.0,0.0,4182.0,0.002194891916531126,2.0,0.9931536157466838,0.9863072314933675,0.0,0.0,1.0,1.0076518412242945,0.992406264831514
MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metaSPAdes,0.0,0.0012097622830234925,1877.0,0.0,0.0,6760.0,0.003547936240016837,4.0,0.9965768078733419,0.9863072314933675,0.0,0.0,1.0,1.004733727810651,0.9952885747938751
MINIA,0.0,0.0007956614408085096,1516.0,0.0,0.0,2727.0,0.001431245876705017,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
SKESA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAdes,0.0,0.0012097622830234925,1808.0,0.0,0.0,5346.0,0.002805808748392013,3.0,0.9974171330176497,0.9922513990529488,0.0,0.0,1.0,1.0033670033670035,0.9966442953020134
Unicycler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VelvetOptimiser,0.0,0.0012097622830234925,1844.0,0.0,0.0,6750.0,0.0035426878136262793,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
