Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],1.0 [1.0;1.0],2992.0 [2992.0;2992.0],2992.0 [2992.0;2992.0],0.0 [0.0;0.0],2992.0 [2992.0;2992.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],1.0 [1.0;1.0],2992.0 [2992.0;2992.0],2992.0 [2992.0;2992.0],0.0 [0.0;0.0],2992.0 [2992.0;2992.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.95 [0.95;0.95],2847.0 [2847.0;2847.0],2847.0 [2847.0;2847.0],0.0 [0.0;0.0],2847.0 [2847.0;2847.0],0.95 [0.95;0.95],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],1.0 [1.0;1.0],2992.0 [2992.0;2992.0],2992.0 [2992.0;2992.0],0.0 [0.0;0.0],2992.0 [2992.0;2992.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],1.0 [1.0;1.0],2990.0 [2990.0;2990.0],2990.0 [2990.0;2990.0],0.0 [0.0;0.0],2990.0 [2990.0;2990.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,1.0 [1.0;1.0],0.56 [0.56;0.56],1677.0 [1677.0;1677.0],1677.0 [1677.0;1677.0],0.0 [0.0;0.0],2992.0 [2992.0;2992.0],1.0 [1.0;1.0],2.0 [2.0;2.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.02 [1.02;1.02],1.02 [1.02;1.02],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.7 [0.7;0.7],2110.0 [2110.0;2110.0],2110.0 [2110.0;2110.0],0.0 [0.0;0.0],2110.0 [2110.0;2110.0],0.7 [0.7;0.7],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.56 [0.56;0.56],1677.0 [1677.0;1677.0],1677.0 [1677.0;1677.0],0.0 [0.0;0.0],1677.0 [1677.0;1677.0],0.56 [0.56;0.56],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
