Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,97.67 [0.0;149.0],0.02 [0.0;0.02],32796.67 [0.0;49818.0],32332.67 [0.0;49799.0],2.67 [0.0;5.0],4472194.0 [0.0;6709693.0],0.66 [0.0;0.99],182.67 [0.0;277.0],0.67 [0.0;1.0],0.64 [0.0;0.96],0.0 [0.0;0.0],0.0 [0.0;0.0],0.67 [0.0;1.01],0.67 [0.0;1.01],0.67 [0.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,40.0 [40.0;40.0],0.07 [0.07;0.07],204691.0 [204691.0;204691.0],204691.0 [204691.0;204691.0],0.0 [0.0;0.0],6704756.67 [6703986.0;6705175.0],0.99 [0.99;0.99],102.0 [102.0;102.0],1.0 [1.0;1.0],0.92 [0.92;0.92],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,90.0 [90.0;90.0],0.04 [0.04;0.04],88071.0 [88071.0;88071.0],85510.0 [85510.0;85510.0],0.0 [0.0;0.0],6709189.67 [6708782.0;6710005.0],0.99 [0.99;0.99],185.0 [185.0;185.0],1.0 [1.0;1.0],0.92 [0.92;0.92],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,24.0 [24.0;24.0],0.07 [0.07;0.07],286027.0 [286027.0;286027.0],294763.0 [294763.0;294763.0],0.0 [0.0;0.0],6737939.0 [6737845.0;6737986.0],0.99 [0.99;0.99],78.0 [78.0;78.0],0.99 [0.99;0.99],0.88 [0.88;0.88],1.0 [1.0;1.0],2.0 [2.0;2.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1134.0 [1126.0;1144.0],0.0 [0.0;0.0],0.0 [0.0;0.0],95927.0 [93618.0;99263.0],0.01 [0.01;0.01],82.67 [81.0;85.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,44.0 [44.0;44.0],0.05 [0.05;0.05],151807.0 [151807.0;151807.0],151807.0 [151807.0;151807.0],0.0 [0.0;0.0],6721688.0 [6721688.0;6721688.0],0.99 [0.99;0.99],100.0 [100.0;100.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.03 [1.03;1.03],1.03 [1.03;1.03],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,406.0 [405.0;407.0],0.01 [0.01;0.01],18784.67 [18690.0;18832.0],17922.33 [17851.0;17958.0],0.0 [0.0;0.0],6489950.33 [6489664.0;6490289.0],0.96 [0.96;0.96],597.33 [596.0;598.0],1.0 [1.0;1.0],0.97 [0.97;0.97],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,58.0 [58.0;58.0],0.05 [0.05;0.05],111919.0 [111919.0;111919.0],106185.0 [106185.0;106185.0],0.0 [0.0;0.0],6669711.0 [6669711.0;6669711.0],0.98 [0.98;0.98],117.0 [117.0;117.0],1.0 [1.0;1.0],0.9 [0.9;0.9],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,37.0 [37.0;37.0],0.11 [0.11;0.11],173647.0 [173647.0;173647.0],173647.0 [173647.0;173647.0],0.0 [0.0;0.0],6718282.0 [6718282.0;6718282.0],0.99 [0.99;0.99],79.0 [79.0;79.0],1.0 [1.0;1.0],0.97 [0.97;0.97],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,25.0 [25.0;25.0],0.12 [0.12;0.12],264930.0 [264930.0;264930.0],264930.0 [264930.0;264930.0],0.0 [0.0;0.0],6714004.0 [6714004.0;6714004.0],0.99 [0.99;0.99],65.0 [65.0;65.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
