,L90,LSA,NA50,NG50,Ns,assembler,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,reference,run,sample,validity,distribution,type,algorythm
336,13.0,0.18997685677823514,263445.0,263445.0,0.0,GATBMiniaPipeline,3984103.0,0.9847802975867821,27.0,0.9998644089024219,0.9968479117415288,0.0,0.0,1.000073291277861,1.0000938730750686,Bacillus_subtilis,run1,EMS,0.9999794201346877,Even,Metagenomic,Multiple k-mer De Bruijn graph
337,18.0,0.08476035036904825,212969.0,212969.0,0.0,IDBA-UD,3977845.0,0.9832334612970833,34.0,0.9976957897080482,0.922165820642978,0.0,0.0,1.0000613397455154,1.0000844678462837,Bacillus_subtilis,run1,EMS,0.9999768738526478,Even,Metagenomic,Multiple k-mer De Bruijn graph
338,13.0,0.18999045153629418,263586.0,263586.0,0.0,MEGAHIT,3986471.0,0.9853656137155784,27.0,0.999421197063816,0.9956361724500525,1.0,3.0,0.9999515862526028,1.0002689095192214,Bacillus_subtilis,run1,EMS,0.9996827620416884,Even,Metagenomic,Multiple k-mer De Bruijn graph
339,11.0,0.18994373500405495,307964.0,307964.0,0.0,metaSPAdes,3981174.0,0.9840563149257837,23.0,0.9982510920308967,0.9710247349823321,0.0,0.0,0.9999806589714492,0.999982166064583,Bacillus_subtilis,run1,EMS,0.9999984928799883,Even,Metagenomic,Multiple k-mer De Bruijn graph
340,14.0,0.0977828927025069,269493.0,263164.0,0.0,SKESA,3971432.0,0.9816483125073999,26.0,1.0,1.0,0.0,0.0,1.0,1.0,Bacillus_subtilis,run1,EMS,1.0,Even,Genomic,Multiple k-mer De Bruijn graph
341,11.0,0.19005298742336574,315090.0,315090.0,0.0,SPAdes,3981330.0,0.9840948746031876,22.0,0.9999946739543819,0.9999107824075214,0.0,0.0,0.999921634227758,0.9999226389171457,Bacillus_subtilis,run1,EMS,0.9999989952328824,Even,Genomic,Multiple k-mer De Bruijn graph
342,11.0,0.18991778137503315,314937.0,314937.0,0.0,Unicycler,3975910.0,0.9827551729908245,20.0,0.9999805077491274,0.9996124865446717,0.0,0.0,1.0000002515147475,1.0000002515147475,Bacillus_subtilis,run1,EMS,1.0,Even,Genomic,Multiple k-mer De Bruijn graph
343,13.0,0.1894818007501251,235254.0,235254.0,0.0,GATBMiniaPipeline,2784031.0,0.978434957292352,28.0,0.9999895734860702,0.999708057609965,0.0,0.0,1.0003832572266615,1.0003832572266615,Enterococcus_faecalis,run1,EMS,1.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
344,28.0,0.13575528433340645,113206.0,113206.0,0.0,IDBA-UD,2811602.0,0.988124659097938,53.0,0.9999739512010448,0.9987771323754203,0.0,0.0,1.0002283395729552,1.0002290509111886,Enterococcus_faecalis,run1,EMS,0.9999992888246618,Even,Metagenomic,Multiple k-mer De Bruijn graph
345,13.0,0.23483583281319412,235316.0,238546.0,0.0,MEGAHIT,2822833.0,0.9920717426632253,32.0,0.9980767729101571,0.9507002801120448,1.0,2.0,0.9999766192332313,1.0000205467344332,Enterococcus_faecalis,run1,EMS,0.9999560734013464,Even,Metagenomic,Multiple k-mer De Bruijn graph
346,11.0,0.18953030021873962,238611.0,238611.0,0.0,metaSPAdes,2786440.0,0.9792815893205576,23.0,0.9983355269253785,0.980796586059744,0.0,0.0,1.0001618552705245,1.0001618552705245,Enterococcus_faecalis,run1,EMS,1.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
347,19.0,0.13570924498276513,152709.0,152709.0,0.0,SKESA,2810284.0,0.9876614540281269,40.0,0.9841615356405258,0.3664614256210311,1.0,1.0,1.0,1.0233592049771483,Enterococcus_faecalis,run1,EMS,0.977173992412889,Even,Genomic,Multiple k-mer De Bruijn graph
348,14.0,0.18946001113379105,235662.0,215153.0,0.0,SPAdes,2781588.0,0.9775763761197052,26.0,0.999933351073219,0.9987269255251432,0.0,0.0,1.0001768773808342,1.0001786749151924,Enterococcus_faecalis,run1,EMS,0.9999982027867589,Even,Genomic,Multiple k-mer De Bruijn graph
349,8.0,0.23476800384621874,377104.0,377104.0,0.0,Unicycler,2783327.0,0.9781875397133329,20.0,0.9999993456978109,0.9999895211306401,0.0,0.0,0.9998408379611882,0.9998408379611882,Enterococcus_faecalis,run1,EMS,1.0,Even,Genomic,Multiple k-mer De Bruijn graph
350,100.0,0.027645121094951687,59575.0,59530.0,0.0,GATBMiniaPipeline,4625728.0,0.9706834676547823,184.0,0.9998320645830351,0.9901215805471124,0.0,0.0,1.0015975863691078,1.0016019100128672,Escherichia_coli,run1,EMS,0.9999956832712515,Even,Metagenomic,Multiple k-mer De Bruijn graph
351,283.0,0.0189634354394584,19013.0,18446.0,0.0,IDBA-UD,4520157.0,0.9485299764932218,439.0,0.99415538150649,0.46293053123175715,6.0,10.0,1.004381042516886,1.0112681926756084,Escherichia_coli,run1,EMS,0.9931895908438488,Even,Metagenomic,Multiple k-mer De Bruijn graph
352,55.0,0.059565403696704225,74104.0,74550.0,0.0,MEGAHIT,4662335.0,0.9783652443827782,141.0,0.9979794559669986,0.8633633633633634,3.0,5.0,1.0006588973121837,1.0007826550430203,Escherichia_coli,run1,EMS,0.9998763390530272,Even,Metagenomic,Multiple k-mer De Bruijn graph
353,39.0,0.11712868124917898,107748.0,107748.0,0.0,metaSPAdes,4666787.0,0.9792994719893299,86.0,0.9995152440254389,0.9874723655121592,1.0,3.0,0.9998997168715864,0.9998997168715864,Escherichia_coli,run1,EMS,1.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
354,70.0,0.027602732510826927,62623.0,66235.0,0.0,SKESA,4575062.0,0.9600514874405983,180.0,0.9950550872540534,0.6552621792487914,2.0,4.0,1.0056663712972633,1.0119840998876082,Escherichia_coli,run1,EMS,0.9937570871014214,Even,Genomic,Multiple k-mer De Bruijn graph
355,45.0,0.09487572380605838,98812.0,96999.0,0.0,SPAdes,4643850.0,0.9744862692464107,84.0,0.9997884850066031,0.9909936955869109,0.0,0.0,1.0000947489690666,1.0001311411867309,Escherichia_coli,run1,EMS,0.9999636125542286,Even,Genomic,Multiple k-mer De Bruijn graph
356,35.0,0.11707097401831607,124073.0,119183.0,0.0,Unicycler,4629000.0,0.9713700787798132,72.0,0.9997709761889391,0.9927631578947368,0.0,0.0,1.00000194426442,1.00000194426442,Escherichia_coli,run1,EMS,1.0,Even,Genomic,Multiple k-mer De Bruijn graph
357,53.0,0.0640082337313215,40446.0,40151.0,0.0,GATBMiniaPipeline,1798516.0,0.9439378838239825,89.0,1.0,1.0,0.0,0.0,1.0014189476212612,1.0014189476212612,Lactobacillus_fermentum,run1,EMS,1.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
358,56.0,0.06396519663491894,40069.0,37467.0,0.0,IDBA-UD,1790018.0,0.9394777710772868,88.0,0.9999663133309379,0.9970355731225297,0.0,0.0,1.000446364226505,1.000446364226505,Lactobacillus_fermentum,run1,EMS,1.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
359,35.0,0.06400928341659962,46932.0,52972.0,0.0,MEGAHIT,1807320.0,0.9485585984182292,81.0,0.9992919861089405,0.9753129959442779,3.0,6.0,0.9989144147134984,0.9991667219972113,Lactobacillus_fermentum,run1,EMS,0.9997474822988414,Even,Metagenomic,Multiple k-mer De Bruijn graph
