Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,147.0 [147.0;147.0],0.03 [0.03;0.03],21261.0 [21261.0;21261.0],20173.0 [20173.0;20173.0],0.0 [0.0;0.0],2946717.0 [2946717.0;2946717.0],0.98 [0.98;0.98],226.0 [226.0;226.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,12.0 [12.0;12.0],0.18 [0.18;0.18],254631.0 [254631.0;254631.0],254631.0 [254631.0;254631.0],0.0 [0.0;0.0],2953814.67 [2953748.0;2953848.0],0.99 [0.99;0.99],26.0 [26.0;26.0],1.0 [1.0;1.0],0.98 [0.98;0.98],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,9.0 [9.0;9.0],0.21 [0.21;0.21],475377.0 [475377.0;475377.0],475377.0 [475377.0;475377.0],0.0 [0.0;0.0],2956080.0 [2956080.0;2956080.0],0.99 [0.99;0.99],19.0 [19.0;19.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,9.0 [9.0;9.0],0.13 [0.13;0.13],269400.0 [269400.0;269400.0],274574.0 [274574.0;274574.0],0.0 [0.0;0.0],2962451.0 [2962451.0;2962451.0],0.99 [0.99;0.99],26.0 [26.0;26.0],0.93 [0.93;0.93],0.17 [0.17;0.17],1.0 [1.0;1.0],2.0 [2.0;2.0],1.04 [1.04;1.04],1.05 [1.05;1.05],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],2784.33 [2784.0;2785.0],2539.33 [2538.0;2542.0],0.0 [0.0;0.0],2606122.0 [2603911.0;2610544.0],0.87 [0.87;0.87],1073.33 [1073.0;1074.0],1.0 [1.0;1.0],0.84 [0.84;0.84],0.0 [0.0;0.0],0.0 [0.0;0.0],1.02 [1.02;1.02],1.02 [1.02;1.02],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,12.0 [12.0;12.0],0.15 [0.15;0.15],254438.0 [254438.0;254438.0],254438.0 [254438.0;254438.0],0.0 [0.0;0.0],2960686.0 [2960686.0;2960686.0],0.99 [0.99;0.99],27.0 [27.0;27.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,463.67 [461.0;465.0],0.01 [0.01;0.01],6641.0 [6641.0;6641.0],6528.33 [6524.0;6537.0],0.0 [0.0;0.0],2825250.67 [2822003.0;2831746.0],0.94 [0.94;0.95],589.67 [589.0;591.0],1.0 [1.0;1.0],0.01 [0.01;0.01],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.02 [1.02;1.02],0.99 [0.99;0.99]
SKESA,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],2534.0 [2534.0;2534.0],1926.0 [1926.0;1926.0],0.0 [0.0;0.0],2259852.0 [2259852.0;2259852.0],0.76 [0.76;0.76],1001.0 [1001.0;1001.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,835.0 [835.0;835.0],0.0 [0.0;0.0],2434.0 [2434.0;2434.0],3149.0 [3149.0;3149.0],0.0 [0.0;0.0],1899833.0 [1899833.0;1899833.0],0.63 [0.63;0.63],1839.0 [1839.0;1839.0],1.0 [1.0;1.0],0.5 [0.5;0.5],565.0 [565.0;565.0],1134.0 [1134.0;1134.0],1.38 [1.38;1.38],1.38 [1.38;1.38],1.0 [1.0;1.0]
