Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,33.0 [33.0;33.0],0.08 [0.08;0.08],157988.0 [157988.0;157988.0],157988.0 [157988.0;157988.0],1.0 [1.0;1.0],4703394.0 [4703394.0;4703394.0],0.99 [0.99;0.99],68.0 [68.0;68.0],1.0 [1.0;1.0],0.9 [0.9;0.9],0.0 [0.0;0.0],0.0 [0.0;0.0],1.01 [1.01;1.01],1.01 [1.01;1.01],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],2317.0 [2317.0;2317.0],1499.0 [1499.0;1499.0],0.0 [0.0;0.0],3098046.0 [3098046.0;3098046.0],0.65 [0.65;0.65],1479.0 [1479.0;1479.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,82.0 [82.0;82.0],0.08 [0.08;0.08],64572.0 [64572.0;64572.0],60374.0 [60374.0;60374.0],0.0 [0.0;0.0],4652568.67 [4652566.0;4652574.0],0.98 [0.98;0.98],158.0 [158.0;158.0],1.0 [1.0;1.0],0.94 [0.94;0.94],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,200.0 [200.0;200.0],0.02 [0.02;0.02],25944.0 [25944.0;25944.0],26117.0 [26117.0;26117.0],0.0 [0.0;0.0],4580987.67 [4580868.0;4581227.0],0.96 [0.96;0.96],386.0 [386.0;386.0],0.99 [0.99;0.99],0.6 [0.6;0.6],9.0 [9.0;9.0],14.0 [14.0;14.0],1.01 [1.01;1.01],1.02 [1.02;1.02],0.99 [0.99;0.99]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,42.0 [42.0;42.0],0.09 [0.09;0.09],120785.0 [120785.0;120785.0],120785.0 [120785.0;120785.0],0.0 [0.0;0.0],4671620.0 [4671620.0;4671620.0],0.98 [0.98;0.98],102.0 [102.0;102.0],1.0 [1.0;1.0],0.97 [0.97;0.97],1.0 [1.0;1.0],2.0 [2.0;2.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,86.0 [86.0;86.0],0.06 [0.06;0.06],64529.0 [64529.0;64529.0],60329.0 [60329.0;60329.0],0.0 [0.0;0.0],4641790.0 [4641693.0;4641887.0],0.98 [0.98;0.98],162.0 [162.0;162.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,28.0 [28.0;28.0],0.07 [0.07;0.07],164359.0 [164359.0;164359.0],157908.0 [157908.0;157908.0],0.0 [0.0;0.0],4680545.0 [4680545.0;4680545.0],0.98 [0.98;0.98],55.0 [55.0;55.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.01 [0.01;0.01],4996.0 [4996.0;4996.0],3551.0 [3551.0;3551.0],0.0 [0.0;0.0],3825606.33 [3825026.0;3826699.0],0.8 [0.8;0.8],1083.33 [1083.0;1084.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,83.0 [83.0;83.0],0.06 [0.06;0.06],60912.0 [60912.0;60912.0],60131.0 [60131.0;60131.0],0.0 [0.0;0.0],4576718.0 [4576718.0;4576718.0],0.96 [0.96;0.96],157.0 [157.0;157.0],1.0 [1.0;1.0],0.63 [0.63;0.63],2.0 [2.0;2.0],3.0 [3.0;3.0],1.0 [1.0;1.0],1.01 [1.01;1.01],0.99 [0.99;0.99]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,27.0 [27.0;27.0],0.08 [0.08;0.08],164404.0 [164404.0;164404.0],157954.0 [157954.0;157954.0],0.0 [0.0;0.0],4666050.0 [4666050.0;4666050.0],0.98 [0.98;0.98],60.0 [60.0;60.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,20.0 [20.0;20.0],0.11 [0.11;0.11],223960.0 [223960.0;223960.0],223960.0 [223960.0;223960.0],0.0 [0.0;0.0],4660116.0 [4660116.0;4660116.0],0.98 [0.98;0.98],50.0 [50.0;50.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
