Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1271.0 [1271.0;1271.0],0.0 [0.0;0.0],0.0 [0.0;0.0],647119.0 [647119.0;647119.0],0.16 [0.16;0.16],496.0 [496.0;496.0],1.0 [1.0;1.0],0.98 [0.98;0.98],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,127.0 [125.0;131.0],0.03 [0.03;0.03],31451.0 [31451.0;31451.0],31394.33 [31281.0;31451.0],0.0 [0.0;0.0],3960148.67 [3960148.0;3960150.0],0.98 [0.98;0.98],205.67 [205.0;206.0],1.0 [1.0;1.0],0.98 [0.98;0.99],0.67 [0.0;1.0],1.33 [0.0;2.0],1.0 [1.0;1.01],1.0 [1.0;1.01],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,41.0 [41.0;41.0],0.06 [0.06;0.06],101732.0 [101732.0;101732.0],101732.0 [101732.0;101732.0],0.0 [0.0;0.0],3973327.33 [3973316.0;3973333.0],0.98 [0.98;0.98],74.0 [74.0;74.0],1.0 [1.0;1.0],0.94 [0.94;0.94],1.0 [1.0;1.0],2.0 [2.0;2.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,13.0 [13.0;13.0],0.19 [0.19;0.19],263503.0 [263503.0;263503.0],263503.0 [263503.0;263503.0],0.0 [0.0;0.0],3982262.0 [3982262.0;3982262.0],0.98 [0.98;0.98],27.0 [27.0;27.0],1.0 [1.0;1.0],0.98 [0.98;0.98],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],3000.67 [2986.0;3008.0],2697.0 [2697.0;2697.0],0.0 [0.0;0.0],3514822.67 [3511248.0;3516610.0],0.87 [0.87;0.87],1411.0 [1409.0;1412.0],1.0 [1.0;1.0],0.92 [0.92;0.92],0.0 [0.0;0.0],0.0 [0.0;0.0],1.02 [1.02;1.02],1.02 [1.02;1.02],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,56.0 [56.0;56.0],0.04 [0.04;0.04],61490.0 [61490.0;61490.0],62046.0 [62046.0;62046.0],0.0 [0.0;0.0],3972365.0 [3972365.0;3972365.0],0.98 [0.98;0.98],107.0 [107.0;107.0],1.0 [1.0;1.0],0.99 [0.99;0.99],2.0 [2.0;2.0],6.0 [6.0;6.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,175.33 [175.0;176.0],0.02 [0.02;0.02],24161.33 [24106.0;24189.0],23913.67 [23529.0;24106.0],0.0 [0.0;0.0],3941660.33 [3941376.0;3942229.0],0.97 [0.97;0.97],278.67 [278.0;280.0],1.0 [1.0;1.0],0.98 [0.98;0.98],2.0 [2.0;2.0],3.0 [3.0;3.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,11.0 [11.0;11.0],0.18 [0.18;0.18],263192.0 [263192.0;263192.0],315047.0 [315047.0;315047.0],0.0 [0.0;0.0],3974512.0 [3974512.0;3974512.0],0.98 [0.98;0.98],37.0 [37.0;37.0],1.0 [1.0;1.0],0.98 [0.98;0.98],2.0 [2.0;2.0],5.0 [5.0;5.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
