Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,25.0 [25.0;25.0],0.13 [0.13;0.13],245341.0 [245341.0;245341.0],245341.0 [245341.0;245341.0],0.0 [0.0;0.0],6781605.0 [6781605.0;6781605.0],1.0 [1.0;1.0],58.0 [58.0;58.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.01 [1.01;1.01],1.01 [1.01;1.01],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,311.0 [311.0;311.0],0.02 [0.02;0.02],23566.0 [23566.0;23566.0],22511.0 [22511.0;22511.0],0.0 [0.0;0.0],6515082.0 [6515072.0;6515102.0],0.96 [0.96;0.96],490.0 [490.0;490.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,36.0 [36.0;36.0],0.07 [0.07;0.07],211558.0 [211558.0;211558.0],211019.0 [211019.0;211019.0],0.0 [0.0;0.0],6715979.33 [6715846.0;6716046.0],0.99 [0.99;0.99],99.0 [99.0;99.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,53.0 [53.0;53.0],0.05 [0.05;0.05],135162.0 [135162.0;135162.0],127716.0 [127716.0;127716.0],0.0 [0.0;0.0],6700232.0 [6700232.0;6700232.0],0.99 [0.99;0.99],126.0 [126.0;126.0],1.0 [1.0;1.0],0.97 [0.97;0.97],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,29.0 [29.0;29.0],0.07 [0.07;0.07],239309.0 [239309.0;239309.0],239309.0 [239309.0;239309.0],0.0 [0.0;0.0],6729202.0 [6729202.0;6729202.0],0.99 [0.99;0.99],81.0 [81.0;81.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,24.0 [24.0;24.0],0.13 [0.13;0.13],257868.0 [257868.0;257868.0],257868.0 [257868.0;257868.0],0.0 [0.0;0.0],6729823.0 [6729823.0;6729823.0],0.99 [0.99;0.99],57.0 [57.0;57.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,291.0 [291.0;291.0],0.02 [0.02;0.02],24665.0 [24665.0;24665.0],24029.0 [24029.0;24029.0],0.0 [0.0;0.0],6524119.33 [6524118.0;6524120.0],0.96 [0.96;0.96],466.0 [466.0;466.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1427.0 [1427.0;1427.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1611097.0 [1611097.0;1611097.0],0.24 [0.24;0.24],1124.0 [1124.0;1124.0],1.0 [1.0;1.0],0.92 [0.92;0.92],12.0 [12.0;12.0],23.0 [23.0;23.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,60.0 [60.0;60.0],0.04 [0.04;0.04],122703.0 [122703.0;122703.0],122703.0 [122703.0;122703.0],0.0 [0.0;0.0],6682762.0 [6682762.0;6682762.0],0.98 [0.98;0.98],129.0 [129.0;129.0],1.0 [1.0;1.0],0.94 [0.94;0.94],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,25.0 [25.0;25.0],0.12 [0.12;0.12],256472.0 [256472.0;256472.0],256472.0 [256472.0;256472.0],0.0 [0.0;0.0],6707040.0 [6707040.0;6707040.0],0.99 [0.99;0.99],74.0 [74.0;74.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
