Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1117.0 [1117.0;1117.0],0.0 [0.0;0.0],0.0 [0.0;0.0],9720.0 [9720.0;9720.0],0.0 [0.0;0.0],8.0 [8.0;8.0],0.89 [0.89;0.89],0.32 [0.32;0.32],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.09 [1.09;1.09],0.92 [0.92;0.92]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1144.0 [1144.0;1144.0],0.0 [0.0;0.0],0.0 [0.0;0.0],19352.0 [19352.0;19352.0],0.0 [0.0;0.0],15.0 [15.0;15.0],0.96 [0.96;0.96],0.8 [0.8;0.8],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.04 [1.04;1.04],0.96 [0.96;0.96]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1223.0 [1223.0;1223.0],0.0 [0.0;0.0],0.0 [0.0;0.0],26159.0 [26159.0;26159.0],0.01 [0.01;0.01],23.0 [23.0;23.0],0.91 [0.91;0.91],0.08 [0.08;0.08],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.15 [1.15;1.15],0.87 [0.87;0.87]
MINIA,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1313.0 [1313.0;1313.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1312.0 [1312.0;1312.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1251.0 [1251.0;1251.0],0.0 [0.0;0.0],0.0 [0.0;0.0],49112.0 [49112.0;49112.0],0.01 [0.01;0.01],43.0 [43.0;43.0],0.89 [0.89;0.89],0.06 [0.06;0.06],2.0 [2.0;2.0],2.0 [2.0;2.0],1.0 [1.0;1.0],1.15 [1.15;1.15],0.87 [0.87;0.87]
