Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,43.0 [43.0;43.0],0.07 [0.07;0.07],42368.0 [42368.0;42368.0],42368.0 [42368.0;42368.0],0.0 [0.0;0.0],1855069.0 [1855069.0;1855069.0],0.97 [0.97;0.97],72.0 [72.0;72.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.01 [1.01;1.01],1.01 [1.01;1.01],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0],0.0 [0.0;0.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,53.0 [53.0;53.0],0.06 [0.06;0.06],40446.0 [40446.0;40446.0],40151.0 [40151.0;40151.0],0.0 [0.0;0.0],1798428.67 [1798327.0;1798516.0],0.94 [0.94;0.94],89.0 [89.0;89.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,56.0 [56.0;56.0],0.06 [0.06;0.06],40069.0 [40069.0;40069.0],37467.0 [37467.0;37467.0],0.0 [0.0;0.0],1789882.0 [1789774.0;1790018.0],0.94 [0.94;0.94],88.0 [88.0;88.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,35.0 [35.0;35.0],0.06 [0.06;0.06],46932.0 [46932.0;46932.0],52972.0 [52972.0;52972.0],0.0 [0.0;0.0],1807077.0 [1806816.0;1807320.0],0.95 [0.95;0.95],81.0 [81.0;81.0],1.0 [1.0;1.0],0.98 [0.98;0.98],3.0 [3.0;3.0],6.0 [6.0;6.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,54.0 [54.0;54.0],0.06 [0.06;0.06],40362.0 [40362.0;40362.0],40067.0 [40067.0;40067.0],0.0 [0.0;0.0],1787439.0 [1787307.0;1787622.0],0.94 [0.94;0.94],86.0 [86.0;86.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,48.0 [48.0;48.0],0.06 [0.06;0.06],46069.0 [46069.0;46069.0],45077.0 [45077.0;45077.0],0.0 [0.0;0.0],1796429.0 [1796429.0;1796429.0],0.94 [0.94;0.94],78.0 [78.0;78.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,207.0 [207.0;207.0],0.03 [0.03;0.03],11293.0 [11293.0;11293.0],10836.0 [10836.0;10836.0],0.0 [0.0;0.0],1753901.0 [1753874.0;1753923.0],0.92 [0.92;0.92],238.0 [238.0;238.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,56.0 [56.0;56.0],0.06 [0.06;0.06],40164.0 [40164.0;40164.0],39869.0 [39869.0;39869.0],0.0 [0.0;0.0],1776186.0 [1776186.0;1776186.0],0.93 [0.93;0.93],86.0 [86.0;86.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,76.0 [76.0;76.0],0.06 [0.06;0.06],32241.0 [32241.0;32241.0],29397.0 [29397.0;29397.0],0.0 [0.0;0.0],1792828.0 [1792828.0;1792828.0],0.94 [0.94;0.94],109.0 [109.0;109.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,49.0 [49.0;49.0],0.06 [0.06;0.06],45959.0 [45959.0;45959.0],40306.0 [40306.0;40306.0],0.0 [0.0;0.0],1775427.0 [1775427.0;1775427.0],0.93 [0.93;0.93],77.0 [77.0;77.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
