Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,9.0 [9.0;9.0],0.19 [0.19;0.19],241090.0 [241090.0;241090.0],241090.0 [241090.0;241090.0],0.0 [0.0;0.0],2828460.0 [2828460.0;2828460.0],0.99 [0.99;0.99],19.0 [19.0;19.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.02 [1.02;1.02],1.02 [1.02;1.02],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,104.33 [103.0;107.0],0.05 [0.05;0.05],30453.0 [30453.0;30453.0],30420.0 [30356.0;30452.0],0.0 [0.0;0.0],2756687.0 [2732881.0;2768590.0],0.97 [0.96;0.97],165.67 [165.0;166.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,24.0 [24.0;24.0],0.14 [0.14;0.14],127741.0 [127741.0;127741.0],127741.0 [127741.0;127741.0],0.0 [0.0;0.0],2791622.67 [2779753.0;2815322.0],0.98 [0.98;0.99],45.33 [45.0;46.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,22.0 [22.0;22.0],0.14 [0.14;0.14],112536.0 [112536.0;112536.0],118897.0 [118897.0;118897.0],0.0 [0.0;0.0],2777299.0 [2777299.0;2777299.0],0.98 [0.98;0.98],55.0 [55.0;55.0],0.99 [0.99;0.99],0.8 [0.8;0.8],3.0 [3.0;3.0],6.0 [6.0;6.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,13.0 [13.0;13.0],0.19 [0.19;0.19],235316.0 [235316.0;235316.0],235316.0 [235316.0;235316.0],0.0 [0.0;0.0],2797793.33 [2785889.0;2821376.0],0.98 [0.98;0.99],31.33 [31.0;32.0],1.0 [1.0;1.0],0.99 [0.99;0.99],1.0 [1.0;1.0],2.0 [2.0;2.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,27.0 [27.0;27.0],0.14 [0.14;0.14],118895.0 [118895.0;118895.0],118895.0 [118895.0;118895.0],0.0 [0.0;0.0],2799206.67 [2775479.0;2811089.0],0.98 [0.98;0.99],45.67 [45.0;46.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,9.0 [9.0;9.0],0.23 [0.23;0.23],238611.0 [238611.0;238611.0],238611.0 [238611.0;238611.0],0.0 [0.0;0.0],2818677.0 [2818677.0;2818677.0],0.99 [0.99;0.99],21.0 [21.0;21.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,103.0 [103.0;103.0],0.05 [0.05;0.05],30453.0 [30453.0;30453.0],30452.0 [30452.0;30452.0],0.0 [0.0;0.0],2770364.0 [2770364.0;2770364.0],0.97 [0.97;0.97],167.0 [167.0;167.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,30.0 [30.0;30.0],0.14 [0.14;0.14],88301.0 [88301.0;88301.0],87934.0 [87934.0;87934.0],0.0 [0.0;0.0],2798023.0 [2798023.0;2798023.0],0.98 [0.98;0.98],52.0 [52.0;52.0],1.0 [1.0;1.0],0.78 [0.78;0.78],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,10.0 [10.0;10.0],0.19 [0.19;0.19],239100.0 [239100.0;239100.0],239100.0 [239100.0;239100.0],0.0 [0.0;0.0],2812518.0 [2812518.0;2812518.0],0.99 [0.99;0.99],21.0 [21.0;21.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,9.0 [9.0;9.0],0.23 [0.23;0.23],238501.0 [238501.0;238501.0],238501.0 [238501.0;238501.0],0.0 [0.0;0.0],2812762.0 [2812762.0;2812762.0],0.99 [0.99;0.99],20.0 [20.0;20.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
VelvetOptimiser,Multiple k-mer De Bruijn graph,Metagenomic,101.0 [101.0;101.0],0.05 [0.05;0.05],30453.0 [30453.0;30453.0],30453.0 [30453.0;30453.0],0.0 [0.0;0.0],2736286.0 [2736286.0;2736286.0],0.96 [0.96;0.96],157.0 [157.0;157.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
