Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.02 [0.02;0.02],1638.0 [1638.0;1638.0],0.0 [0.0;0.0],108.0 [108.0;108.0],10505.0 [10505.0;10505.0],0.1 [0.1;0.1],6.0 [6.0;6.0],0.99 [0.99;0.99],0.97 [0.97;0.97],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.06 [0.06;0.06],3190.0 [3190.0;3190.0],3109.0 [3109.0;3109.0],0.0 [0.0;0.0],91055.0 [91055.0;91055.0],0.83 [0.83;0.83],33.0 [33.0;33.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],0.14 [0.14;0.14],5269.0 [5269.0;5269.0],4651.0 [4651.0;4651.0],0.0 [0.0;0.0],97767.0 [97767.0;97767.0],0.89 [0.89;0.89],24.0 [24.0;24.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,8.0 [8.0;8.0],0.19 [0.19;0.19],12577.0 [12577.0;12577.0],12577.0 [12577.0;12577.0],0.0 [0.0;0.0],105631.0 [105631.0;105631.0],0.96 [0.96;0.96],11.0 [11.0;11.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,6.0 [6.0;6.0],0.19 [0.19;0.19],15523.0 [15523.0;15523.0],12670.0 [12670.0;12670.0],0.0 [0.0;0.0],107615.0 [107615.0;107615.0],0.98 [0.98;0.98],9.0 [9.0;9.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,7.0 [7.0;7.0],0.19 [0.19;0.19],12578.0 [12578.0;12578.0],12578.0 [12578.0;12578.0],0.0 [0.0;0.0],106563.33 [106563.0;106564.0],0.97 [0.97;0.97],10.0 [10.0;10.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,6.0 [6.0;6.0],0.19 [0.19;0.19],15437.0 [15437.0;15437.0],12657.0 [12657.0;12657.0],0.0 [0.0;0.0],105952.0 [105952.0;105952.0],0.96 [0.96;0.96],9.0 [9.0;9.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.06 [0.06;0.06],3190.0 [3190.0;3190.0],3109.0 [3109.0;3109.0],0.0 [0.0;0.0],91055.0 [91055.0;91055.0],0.83 [0.83;0.83],33.0 [33.0;33.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.02 [0.02;0.02],1421.0 [1421.0;1421.0],0.0 [0.0;0.0],0.0 [0.0;0.0],15416.0 [15416.0;15416.0],0.14 [0.14;0.14],12.0 [12.0;12.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,6.0 [6.0;6.0],0.19 [0.19;0.19],15438.0 [15438.0;15438.0],12657.0 [12657.0;12657.0],0.0 [0.0;0.0],107736.0 [107736.0;107736.0],0.98 [0.98;0.98],9.0 [9.0;9.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
