Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,67.0 [67.0;67.0],0.04 [0.04;0.04],92433.0 [92433.0;92433.0],93704.0 [93704.0;93704.0],295.33 [294.0;296.0],6780808.0 [6780808.0;6780808.0],1.0 [1.0;1.0],144.0 [143.0;145.0],1.0 [1.0;1.0],0.98 [0.98;0.98],2.0 [2.0;2.0],3.0 [3.0;3.0],1.02 [1.02;1.02],1.02 [1.02;1.02],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,921.0 [921.0;921.0],0.01 [0.01;0.01],8425.0 [8425.0;8425.0],7782.0 [7782.0;7782.0],0.0 [0.0;0.0],6400504.0 [6400474.0;6400534.0],0.94 [0.94;0.94],1142.0 [1142.0;1142.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,39.0 [39.0;39.0],0.07 [0.07;0.07],204303.0 [204303.0;204303.0],204303.0 [204303.0;204303.0],0.0 [0.0;0.0],6716518.33 [6716515.0;6716522.0],0.99 [0.99;0.99],98.0 [98.0;98.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,76.0 [76.0;76.0],0.05 [0.05;0.05],84458.0 [84458.0;84458.0],83502.0 [83502.0;83502.0],0.0 [0.0;0.0],6698357.0 [6698357.0;6698357.0],0.99 [0.99;0.99],164.0 [164.0;164.0],1.0 [1.0;1.0],0.95 [0.95;0.95],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,30.0 [30.0;30.0],0.07 [0.07;0.07],250917.0 [250917.0;250917.0],250917.0 [250917.0;250917.0],0.0 [0.0;0.0],6731579.0 [6731485.0;6731626.0],0.99 [0.99;0.99],82.0 [82.0;82.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,37.0 [37.0;37.0],0.07 [0.07;0.07],211554.0 [211554.0;211554.0],211015.0 [211015.0;211015.0],0.0 [0.0;0.0],6714541.0 [6714411.0;6714607.0],0.99 [0.99;0.99],100.0 [100.0;100.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,24.0 [24.0;24.0],0.12 [0.12;0.12],256394.0 [256394.0;256394.0],256394.0 [256394.0;256394.0],0.0 [0.0;0.0],6726884.0 [6726884.0;6726884.0],0.99 [0.99;0.99],57.0 [57.0;57.0],1.0 [1.0;1.0],0.98 [0.98;0.98],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,335.0 [335.0;335.0],0.02 [0.02;0.02],22207.0 [22207.0;22207.0],21734.0 [21734.0;21734.0],0.0 [0.0;0.0],6518607.0 [6518607.0;6518607.0],0.96 [0.96;0.96],523.0 [523.0;523.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,174.0 [174.0;174.0],0.02 [0.02;0.02],38251.0 [38251.0;38251.0],38251.0 [38251.0;38251.0],0.0 [0.0;0.0],6673601.0 [6673601.0;6673601.0],0.98 [0.98;0.98],303.0 [303.0;303.0],1.0 [1.0;1.0],0.25 [0.25;0.25],6.0 [6.0;6.0],12.0 [12.0;12.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,26.0 [26.0;26.0],0.13 [0.13;0.13],252244.0 [252244.0;252244.0],252244.0 [252244.0;252244.0],0.0 [0.0;0.0],6728888.0 [6728888.0;6728888.0],0.99 [0.99;0.99],63.0 [63.0;63.0],1.0 [1.0;1.0],0.97 [0.97;0.97],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,22.0 [22.0;22.0],0.12 [0.12;0.12],283759.0 [283759.0;283759.0],283759.0 [283759.0;283759.0],0.0 [0.0;0.0],6723626.0 [6723626.0;6723626.0],0.99 [0.99;0.99],60.0 [60.0;60.0],1.0 [1.0;1.0],0.86 [0.86;0.86],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
VelvetOptimiser,Multiple k-mer De Bruijn graph,Metagenomic,14.0 [14.0;14.0],0.08 [0.08;0.08],338923.0 [338923.0;338923.0],464977.0 [464977.0;464977.0],6228.0 [6228.0;6228.0],6708956.0 [6708956.0;6708956.0],0.99 [0.99;0.99],69.0 [69.0;69.0],0.99 [0.99;0.99],0.88 [0.88;0.88],6.0 [6.0;6.0],11.0 [11.0;11.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
