Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,41.0 [41.0;41.0],0.07 [0.07;0.07],42368.0 [42368.0;42368.0],42368.0 [42368.0;42368.0],0.0 [0.0;0.0],1873053.0 [1873053.0;1873053.0],0.98 [0.98;0.98],72.0 [72.0;72.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.02 [1.02;1.02],1.02 [1.02;1.02],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,208.0 [208.0;208.0],0.03 [0.03;0.03],11209.0 [11209.0;11209.0],10234.0 [10234.0;10234.0],0.0 [0.0;0.0],1748597.67 [1748559.0;1748625.0],0.92 [0.92;0.92],236.0 [236.0;236.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,54.0 [54.0;54.0],0.06 [0.06;0.06],40366.0 [40366.0;40366.0],40071.0 [40071.0;40071.0],0.0 [0.0;0.0],1792235.33 [1792170.0;1792365.0],0.94 [0.94;0.94],89.0 [89.0;89.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,58.0 [58.0;58.0],0.06 [0.06;0.06],40364.0 [40364.0;40364.0],37467.0 [37467.0;37467.0],0.0 [0.0;0.0],1788188.67 [1788123.0;1788320.0],0.94 [0.94;0.94],89.0 [89.0;89.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,40.0 [40.0;40.0],0.06 [0.06;0.06],45302.0 [45302.0;45302.0],45302.0 [45302.0;45302.0],0.0 [0.0;0.0],1808475.67 [1808384.0;1808544.0],0.95 [0.95;0.95],82.0 [82.0;82.0],1.0 [1.0;1.0],0.93 [0.93;0.93],2.0 [2.0;2.0],4.0 [4.0;4.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,55.0 [55.0;55.0],0.06 [0.06;0.06],40362.0 [40362.0;40362.0],40067.0 [40067.0;40067.0],0.0 [0.0;0.0],1787529.33 [1787479.0;1787594.0],0.94 [0.94;0.94],87.0 [87.0;87.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,48.0 [48.0;48.0],0.06 [0.06;0.06],46069.0 [46069.0;46069.0],40650.0 [40650.0;40650.0],0.0 [0.0;0.0],1795731.0 [1795731.0;1795731.0],0.94 [0.94;0.94],80.0 [80.0;80.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,206.0 [206.0;206.0],0.03 [0.03;0.03],11209.0 [11209.0;11209.0],10836.0 [10836.0;10836.0],0.0 [0.0;0.0],1754063.33 [1754049.0;1754083.0],0.92 [0.92;0.92],237.0 [237.0;237.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,64.0 [64.0;64.0],0.06 [0.06;0.06],37086.0 [37086.0;37086.0],33086.0 [33086.0;33086.0],0.0 [0.0;0.0],1774634.0 [1774634.0;1774634.0],0.93 [0.93;0.93],94.0 [94.0;94.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,47.0 [47.0;47.0],0.06 [0.06;0.06],46123.0 [46123.0;46123.0],45008.0 [45008.0;45008.0],0.0 [0.0;0.0],1792717.0 [1792717.0;1792717.0],0.94 [0.94;0.94],78.0 [78.0;78.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,51.0 [51.0;51.0],0.06 [0.06;0.06],44315.0 [44315.0;44315.0],40168.0 [40168.0;40168.0],0.0 [0.0;0.0],1774805.0 [1774805.0;1774805.0],0.93 [0.93;0.93],80.0 [80.0;80.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
