Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],1.0 [1.0;1.0],6335.0 [6335.0;6335.0],6335.0 [6335.0;6335.0],0.0 [0.0;0.0],6335.0 [6335.0;6335.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],1.0 [1.0;1.0],6336.0 [6336.0;6336.0],6336.0 [6336.0;6336.0],0.0 [0.0;0.0],6336.0 [6336.0;6336.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],1.0 [1.0;1.0],6336.0 [6336.0;6336.0],6336.0 [6336.0;6336.0],0.0 [0.0;0.0],6336.0 [6336.0;6336.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],1.0 [1.0;1.0],6336.0 [6336.0;6336.0],6336.0 [6336.0;6336.0],0.0 [0.0;0.0],6336.0 [6336.0;6336.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],1.0 [1.0;1.0],6336.0 [6336.0;6336.0],6336.0 [6336.0;6336.0],0.0 [0.0;0.0],6336.0 [6336.0;6336.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],1.0 [1.0;1.0],6334.0 [6334.0;6334.0],6334.0 [6334.0;6334.0],0.0 [0.0;0.0],6334.0 [6334.0;6334.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,0.0 [0.0;0.0],1.0 [1.0;1.0],6336.0 [6336.0;6336.0],6336.0 [6336.0;6336.0],0.0 [0.0;0.0],6336.0 [6336.0;6336.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],1.0 [1.0;1.0],6336.0 [6336.0;6336.0],6336.0 [6336.0;6336.0],0.0 [0.0;0.0],6336.0 [6336.0;6336.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.94 [0.94;0.94],5967.0 [5967.0;5967.0],5967.0 [5967.0;5967.0],0.0 [0.0;0.0],5967.0 [5967.0;5967.0],0.94 [0.94;0.94],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],1.0 [1.0;1.0],6336.0 [6336.0;6336.0],6336.0 [6336.0;6336.0],0.0 [0.0;0.0],6336.0 [6336.0;6336.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.99 [0.99;0.99],6244.0 [6244.0;6244.0],6244.0 [6244.0;6244.0],0.0 [0.0;0.0],6244.0 [6244.0;6244.0],0.99 [0.99;0.99],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
