Assembler,Type,Algorithm,LSA,breadth_of_coverage,multiplicity,validity,parsimony,identity,lowest_identity,L90,contigs,NA50,NG50,basepairs,Ns,misassembled contigs,misassembly events
ABySS,Genomic,Single k-mer De Bruijn graph,0.12 [0;0],0.44 [0;0],0.45 [0;1],0.44 [0;1],0.45 [0;1],0.44 [0;0],0.44 [0;0],9.44 [0;48],16.78 [0;80],97582.39 [0;281333],97582.39 [0;281333],1195092.67 [0;2693907],11.83 [0;71],0.11 [0;1],0.22 [0;2]
GATBMiniaPipeline,Metagenomic,Multiple k-mer De Bruijn graph,0.05 [0;0],0.49 [0;0],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],16.0 [0;39],26.5 [0;65],44591.67 [0;112739],42095.0 [0;108199],1337690.94 [0;2679055],0.0 [0;0],0.0 [0;0],0.0 [0;0]
IDBA-UD,Metagenomic,Multiple k-mer De Bruijn graph,0.03 [0;0],0.49 [0;0],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;0],0.42 [0;0],32.83 [0;112],53.33 [0;174],22172.17 [0;53248],21925.83 [0;53248],1331992.33 [0;2665812],0.0 [0;0],0.0 [0;0],0.0 [0;0]
MEGAHIT,Metagenomic,Multiple k-mer De Bruijn graph,0.07 [0;0],0.49 [0;0],0.5 [0;1],0.5 [0;0],0.5 [0;1],0.5 [0;0],0.42 [0;0],8.0 [0;19],20.0 [0;43],70248.83 [0;181811],81899.67 [0;213210],1340543.67 [0;2681291],0.0 [0;0],1.17 [0;3],2.67 [0;7]
MetaHipMer2,Metagenomic,Multiple k-mer De Bruijn graph,0.02 [0;0],0.35 [0;0],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],13.89 [0;42],63.28 [0;247],17963.61 [0;53350],17527.61 [0;53350],939363.94 [0;2667635],0.0 [0;0],0.0 [0;0],0.0 [0;0]
metaSPAdes,Metagenomic,Multiple k-mer De Bruijn graph,0.11 [0;0],0.49 [0;0],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;0],0.5 [0;0],8.5 [0;30],15.17 [0;49],106903.67 [0;360908],106903.67 [0;360908],1339668.5 [0;2682662],0.0 [0;0],0.0 [0;0],0.0 [0;0]
MINIA,Genomic,Single k-mer De Bruijn graph,0.02 [0;0],0.48 [0;0],0.5 [0;1],0.5 [0;0],0.5 [0;1],0.5 [0;0],0.5 [0;0],60.61 [0;140],92.78 [0;207],13787.83 [0;29647],13552.67 [0;29165],1299562.17 [0;2600576],0.0 [0;0],0.0 [0;0],0.0 [0;0]
SKESA,Genomic,Multiple k-mer De Bruijn graph,0.03 [0;0],0.49 [0;0],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;1],20.5 [0;43],34.17 [0;73],29891.17 [0;73147],28260.83 [0;63469],1328252.83 [0;2661968],0.0 [0;0],0.0 [0;0],0.0 [0;0]
SPAdes,Genomic,Multiple k-mer De Bruijn graph,0.09 [0;0],0.49 [0;0],0.5 [0;1],0.5 [0;1],0.5 [0;1],0.5 [0;0],0.49 [0;0],9.17 [0;30],15.5 [0;48],94832.5 [0;280950],94832.5 [0;280950],1337000.33 [0;2678585],0.0 [0;0],0.17 [0;1],0.5 [0;3]
Unicycler,Genomic,Multiple k-mer De Bruijn graph,0.18 [0;0],0.49 [0;0],0.5 [0;0],0.5 [0;1],0.5 [0;0],0.5 [0;0],0.5 [0;0],4.5 [0;14],10.83 [0;25],164699.83 [0;394879],154825.33 [0;394879],1336795.33 [0;2678241],0.0 [0;0],0.17 [0;1],0.33 [0;2]
VelvetOptimiser,Genomic,Multiple k-mer De Bruijn graph,0.01 [0;0],0.32 [0;0],0.33 [0;1],0.33 [0;1],0.33 [0;1],0.33 [0;1],0.33 [0;1],36.17 [0;113],56.5 [0;175],10368.67 [0;32297],9590.17 [0;30086],867627.83 [0;2603433],0.0 [0;0],0.0 [0;0],0.0 [0;0]
