Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,11.0 [11.0;11.0],0.19 [0.19;0.19],240110.0 [240110.0;240110.0],240110.0 [240110.0;240110.0],0.0 [0.0;0.0],2821320.0 [2821320.0;2821320.0],0.99 [0.99;0.99],22.0 [22.0;22.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.02 [1.02;1.02],1.02 [1.02;1.02],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,0.0 [0.0;0.0],0.0 [0.0;0.0],1208.0 [1208.0;1208.0],0.0 [0.0;0.0],0.0 [0.0;0.0],224629.0 [224629.0;224629.0],0.08 [0.08;0.08],180.0 [180.0;180.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,13.0 [13.0;13.0],0.19 [0.19;0.19],235254.0 [235254.0;235254.0],235254.0 [235254.0;235254.0],0.0 [0.0;0.0],2807690.33 [2784031.0;2819520.0],0.99 [0.98;0.99],28.67 [28.0;29.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,28.0 [28.0;28.0],0.14 [0.14;0.14],113206.0 [113206.0;113206.0],113206.0 [113206.0;113206.0],0.0 [0.0;0.0],2811602.0 [2811602.0;2811602.0],0.99 [0.99;0.99],53.0 [53.0;53.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,13.0 [13.0;13.0],0.23 [0.23;0.23],235316.0 [235316.0;235316.0],238546.0 [238546.0;238546.0],0.0 [0.0;0.0],2810735.33 [2786540.0;2822833.0],0.99 [0.98;0.99],31.67 [31.0;32.0],1.0 [1.0;1.0],0.95 [0.95;0.95],1.0 [1.0;1.0],2.0 [2.0;2.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,27.0 [27.0;27.0],0.14 [0.14;0.14],118895.0 [118895.0;118895.0],114807.0 [114807.0;114807.0],0.0 [0.0;0.0],2787653.67 [2775796.0;2811369.0],0.98 [0.98;0.99],46.33 [46.0;47.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,11.0 [11.0;11.0],0.19 [0.19;0.19],238611.0 [238611.0;238611.0],238611.0 [238611.0;238611.0],0.0 [0.0;0.0],2786440.0 [2786440.0;2786440.0],0.98 [0.98;0.98],23.0 [23.0;23.0],1.0 [1.0;1.0],0.98 [0.98;0.98],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,104.33 [103.0;107.0],0.05 [0.05;0.05],30453.0 [30453.0;30453.0],30420.67 [30356.0;30453.0],0.0 [0.0;0.0],2758386.0 [2734580.0;2770289.0],0.97 [0.96;0.97],166.67 [166.0;167.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,19.0 [19.0;19.0],0.14 [0.14;0.14],152709.0 [152709.0;152709.0],152709.0 [152709.0;152709.0],0.0 [0.0;0.0],2810284.0 [2810284.0;2810284.0],0.99 [0.99;0.99],40.0 [40.0;40.0],0.98 [0.98;0.98],0.37 [0.37;0.37],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.02 [1.02;1.02],0.98 [0.98;0.98]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,14.0 [14.0;14.0],0.19 [0.19;0.19],235662.0 [235662.0;235662.0],215153.0 [215153.0;215153.0],0.0 [0.0;0.0],2781588.0 [2781588.0;2781588.0],0.98 [0.98;0.98],26.0 [26.0;26.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,8.0 [8.0;8.0],0.23 [0.23;0.23],377104.0 [377104.0;377104.0],377104.0 [377104.0;377104.0],0.0 [0.0;0.0],2783327.0 [2783327.0;2783327.0],0.98 [0.98;0.98],20.0 [20.0;20.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
