Assembler,Algorithm,Type,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,Single k-mer De Bruijn graph,Genomic,16.0 [16.0;16.0],0.11 [0.11;0.11],255341.0 [255341.0;255341.0],255341.0 [255341.0;255341.0],47.0 [47.0;47.0],3991149.33 [3991148.0;3991152.0],0.99 [0.99;0.99],26.0 [26.0;26.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
BCALM2,Single k-mer De Bruijn graph,Genomic,66.0 [66.0;66.0],0.03 [0.03;0.03],65138.0 [65138.0;65138.0],64934.0 [64934.0;64934.0],0.0 [0.0;0.0],3951974.0 [3951974.0;3951974.0],0.98 [0.98;0.98],116.0 [116.0;116.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
GATBMiniaPipeline,Multiple k-mer De Bruijn graph,Metagenomic,14.0 [14.0;14.0],0.1 [0.1;0.1],269695.0 [269695.0;269695.0],263366.0 [263366.0;263366.0],0.0 [0.0;0.0],3979577.0 [3979577.0;3979577.0],0.98 [0.98;0.98],28.0 [28.0;28.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
IDBA-UD,Multiple k-mer De Bruijn graph,Metagenomic,19.0 [19.0;19.0],0.08 [0.08;0.08],252653.0 [252653.0;252653.0],212969.0 [212969.0;212969.0],0.0 [0.0;0.0],3976292.0 [3976292.0;3976292.0],0.98 [0.98;0.98],38.0 [38.0;38.0],1.0 [1.0;1.0],0.93 [0.93;0.93],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MEGAHIT,Multiple k-mer De Bruijn graph,Metagenomic,14.0 [14.0;14.0],0.1 [0.1;0.1],264135.0 [264135.0;264135.0],264135.0 [264135.0;264135.0],0.0 [0.0;0.0],3989210.67 [3989134.0;3989275.0],0.99 [0.99;0.99],27.0 [27.0;27.0],1.0 [1.0;1.0],0.95 [0.95;0.95],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MetaHipMer2,Multiple k-mer De Bruijn graph,Metagenomic,15.0 [15.0;15.0],0.1 [0.1;0.1],257264.0 [257264.0;257264.0],257264.0 [257264.0;257264.0],0.0 [0.0;0.0],3975427.0 [3975427.0;3975427.0],0.98 [0.98;0.98],27.0 [27.0;27.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
metaSPAdes,Multiple k-mer De Bruijn graph,Metagenomic,9.0 [9.0;9.0],0.26 [0.26;0.26],343843.0 [343843.0;343843.0],343843.0 [343843.0;343843.0],0.0 [0.0;0.0],3987932.0 [3987932.0;3987932.0],0.99 [0.99;0.99],18.0 [18.0;18.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
MINIA,Single k-mer De Bruijn graph,Genomic,66.0 [66.0;66.0],0.03 [0.03;0.03],65138.0 [65138.0;65138.0],64960.0 [64960.0;64960.0],0.0 [0.0;0.0],3951999.0 [3951999.0;3951999.0],0.98 [0.98;0.98],116.0 [116.0;116.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SKESA,Multiple k-mer De Bruijn graph,Genomic,17.0 [17.0;17.0],0.1 [0.1;0.1],256909.0 [256909.0;256909.0],256909.0 [256909.0;256909.0],0.0 [0.0;0.0],3967464.0 [3967464.0;3967464.0],0.98 [0.98;0.98],30.0 [30.0;30.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
SPAdes,Multiple k-mer De Bruijn graph,Genomic,11.0 [11.0;11.0],0.19 [0.19;0.19],315046.0 [315046.0;315046.0],315046.0 [315046.0;315046.0],0.0 [0.0;0.0],3982668.0 [3982668.0;3982668.0],0.98 [0.98;0.98],22.0 [22.0;22.0],1.0 [1.0;1.0],0.99 [0.99;0.99],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
Unicycler,Multiple k-mer De Bruijn graph,Genomic,12.0 [12.0;12.0],0.19 [0.19;0.19],294271.0 [294271.0;294271.0],294271.0 [294271.0;294271.0],0.0 [0.0;0.0],3973744.0 [3973744.0;3973744.0],0.98 [0.98;0.98],22.0 [22.0;22.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
VelvetOptimiser,Multiple k-mer De Bruijn graph,Metagenomic,60.0 [60.0;60.0],0.06 [0.06;0.06],69914.0 [69914.0;69914.0],69010.0 [69010.0;69010.0],0.0 [0.0;0.0],3953983.0 [3953983.0;3953983.0],0.98 [0.98;0.98],109.0 [109.0;109.0],1.0 [1.0;1.0],1.0 [1.0;1.0],0.0 [0.0;0.0],0.0 [0.0;0.0],1.0 [1.0;1.0],1.0 [1.0;1.0],1.0 [1.0;1.0]
