,run,sample,assembler,reference,LSA,breadth_of_coverage,multiplicity,validity,parsimony,identity,lowest_identity,L90,contigs,NA50,NG50,basepairs,Ns,misassembled contigs,misassembly events,distribution,type,algorythm
0,run1,EMS,ABySS,Bacillus_subtilis,0.10626033665070148,0.9860831697636762,1.000304559061146,0.9999997494104882,1.00030480972704,0.9999097818499045,0.9982537326464682,13.0,22.0,295233.0,295233.0,3989374.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
2,run1,EMS,GATBMiniaPipeline,Bacillus_subtilis,0.18997685677823514,0.9847802975867821,1.000073291277861,0.9999794201346877,1.0000938730750686,0.9998644089024219,0.9968479117415288,13.0,27.0,263445.0,263445.0,3984103.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
3,run1,EMS,IDBA-UD,Bacillus_subtilis,0.08476035036904825,0.9832334612970833,1.0000613397455154,0.9999768738526478,1.0000844678462837,0.9976957897080482,0.922165820642978,18.0,34.0,212969.0,212969.0,3977845.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
4,run1,EMS,MEGAHIT,Bacillus_subtilis,0.18999045153629418,0.9853656137155784,0.9999515862526028,0.9996827620416884,1.0002689095192214,0.999421197063816,0.9956361724500525,13.0,27.0,263586.0,263586.0,3986471.0,0.0,1.0,3.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
5,run1,EMS,MetaHipMer2,Bacillus_subtilis,0.09783183383151942,0.9828730766198093,1.000048788007807,1.0,1.000048788007807,1.0,1.0,16.0,28.0,257424.0,257424.0,3976387.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
6,run1,EMS,metaSPAdes,Bacillus_subtilis,0.18994373500405495,0.9840563149257837,0.9999806589714492,0.9999984928799883,0.999982166064583,0.9982510920308967,0.9710247349823321,11.0,23.0,307964.0,307964.0,3981174.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
7,run1,EMS,MINIA,Bacillus_subtilis,0.032648182244899925,0.9771417737995396,1.0002840736618435,1.0,1.0002840736618435,0.9999929305140223,0.9991728701406121,66.0,117.0,65138.0,64960.0,3953200.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
8,run1,EMS,SKESA,Bacillus_subtilis,0.0977828927025069,0.9816483125073999,1.0,1.0,1.0,1.0,1.0,14.0,26.0,269493.0,263164.0,3971432.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
9,run1,EMS,SPAdes,Bacillus_subtilis,0.19005298742336574,0.9840948746031876,0.999921634227758,0.9999989952328824,0.9999226389171457,0.9999946739543819,0.9999107824075214,11.0,22.0,315090.0,315090.0,3981330.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
10,run1,EMS,Unicycler,Bacillus_subtilis,0.18991778137503315,0.9827551729908245,1.0000002515147475,1.0,1.0000002515147475,0.9999805077491274,0.9996124865446717,11.0,20.0,314937.0,314937.0,3975910.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
11,run1,EMS,VelvetOptimiser,Bacillus_subtilis,0.04598290965887786,0.9771867600898441,1.0002815311042546,1.0,1.0002815311042546,1.0,1.0,63.0,113.0,69010.0,65138.0,3953382.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
12,run1,EMS,ABySS,Enterococcus_faecalis,0.1894659857060117,0.9915400057355893,1.0153247416103102,1.0,1.0153247416103102,0.9999718407010377,0.9996144764107754,11.0,22.0,240110.0,240110.0,2821320.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
14,run1,EMS,GATBMiniaPipeline,Enterococcus_faecalis,0.1894818007501251,0.978434957292352,1.0003832572266615,1.0,1.0003832572266615,0.9999895734860702,0.999708057609965,13.0,28.0,235254.0,235254.0,2784031.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
15,run1,EMS,IDBA-UD,Enterococcus_faecalis,0.13575528433340645,0.988124659097938,1.0002283395729552,0.9999992888246618,1.0002290509111886,0.9999739512010448,0.9987771323754203,28.0,53.0,113206.0,113206.0,2811602.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
16,run1,EMS,MEGAHIT,Enterococcus_faecalis,0.23483583281319412,0.9920717426632253,0.9999766192332313,0.9999560734013464,1.0000205467344332,0.9980767729101571,0.9507002801120448,13.0,32.0,235316.0,238546.0,2822833.0,0.0,1.0,2.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
17,run1,EMS,MetaHipMer2,Enterococcus_faecalis,0.13575493288798168,0.9755408042195943,1.0005706471224831,1.0,1.0005706471224831,1.0,1.0,27.0,46.0,118895.0,114807.0,2775796.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
18,run1,EMS,metaSPAdes,Enterococcus_faecalis,0.18953030021873962,0.9792815893205576,1.0001618552705245,1.0,1.0001618552705245,0.9983355269253785,0.980796586059744,11.0,23.0,238611.0,238611.0,2786440.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
