Assembler,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events
ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDBA-UD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEGAHIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MetaHipMer2,0.0013049168620703228,2110.0,0.0,0.0,14304.0,0.005027075355522191,5.0,1.0,1.0,0.0,0.0
metaSPAdes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MINIA,0.00425143530311465,12097.0,0.0,0.0,21870.0,0.007686111439126841,1.0,1.0,1.0,0.0,0.0
SKESA,0.001199834680072201,2100.0,0.0,0.0,13554.0,0.00476349128696503,7.0,1.0,1.0,0.0,0.0
SPAdes,0.0005338456001844385,2309.0,0.0,0.0,9403.0,0.0033046413288573243,10.0,0.7520391746408822,0.4984841922910351,6.0,8.0
Unicycler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
