locus_tag	ftype	length_bp	gene	EC_number	COG	product
Zymos_Ec_00001	CDS	561	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
Zymos_Ec_00002	CDS	1305	yfeW	3.4.16.4	COG1680	Putative D-alanyl-D-alanine carboxypeptidase
Zymos_Ec_00003	CDS	1425	murP		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
Zymos_Ec_00004	CDS	897	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
Zymos_Ec_00005	CDS	858	murR_1		COG1737	HTH-type transcriptional regulator MurR
Zymos_Ec_00006	CDS	792	ucpA	1.-.-.-		Oxidoreductase UcpA
Zymos_Ec_00007	CDS	1017	cysP		COG4150	Thiosulfate-binding protein
Zymos_Ec_00008	CDS	834	cysT		COG0555	Sulfate transport system permease protein CysT
Zymos_Ec_00009	CDS	876	cysW		COG4208	Sulfate transport system permease protein CysW
Zymos_Ec_00010	CDS	1098	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
Zymos_Ec_00011	CDS	912	cysM	2.5.1.47	COG0031	Cysteine synthase B
Zymos_Ec_00012	CDS	735				hypothetical protein
Zymos_Ec_00013	CDS	375				hypothetical protein
Zymos_Ec_00014	CDS	852	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
Zymos_Ec_00015	CDS	510	crr		COG2190	PTS system glucose-specific EIIA component
Zymos_Ec_00016	CDS	1728	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
Zymos_Ec_00017	CDS	258	ptsH		COG1925	Phosphocarrier protein HPr
Zymos_Ec_00018	CDS	972	cysK	2.5.1.47	COG0031	Cysteine synthase A
Zymos_Ec_00019	CDS	762	cysZ		COG2981	Sulfate transporter CysZ
Zymos_Ec_00020	CDS	987	zipA		COG3115	Cell division protein ZipA
Zymos_Ec_00021	CDS	2016	ligA	6.5.1.2	COG0272	DNA ligase
Zymos_Ec_00022	CDS	219				hypothetical protein
Zymos_Ec_00023	CDS	999				hypothetical protein
Zymos_Ec_00024	CDS	927	cynR_1			HTH-type transcriptional regulator CynR
Zymos_Ec_00025	CDS	765				hypothetical protein
Zymos_Ec_00026	CDS	834	xapA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 2
Zymos_Ec_00027	CDS	1257	xapB			Xanthosine permease
Zymos_Ec_00028	CDS	885	hcaR_1			Hca operon transcriptional activator HcaR
Zymos_Ec_00029	tRNA	76				tRNA-Lys(ttt)
Zymos_Ec_00030	tRNA	76				tRNA-Val(tac)
Zymos_Ec_00031	tRNA	76				tRNA-Val(tac)
Zymos_Ec_00032	tRNA	76				tRNA-Val(tac)
Zymos_Ec_00033	CDS	1416	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
Zymos_Ec_00034	CDS	372				hypothetical protein
Zymos_Ec_00035	CDS	360				hypothetical protein
Zymos_Ec_00036	tRNA	76				tRNA-Ala(ggc)
Zymos_Ec_00037	tRNA	76				tRNA-Ala(ggc)
Zymos_Ec_00038	CDS	2190	pdeA	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeA
Zymos_Ec_00039	CDS	1203	nupC		COG1972	Nucleoside permease NupC
Zymos_Ec_00040	CDS	1239	mntH		COG1914	Divalent metal cation transporter MntH
Zymos_Ec_00041	CDS	327				hypothetical protein
Zymos_Ec_00042	CDS	1257	yfeO			Putative ion-transport protein YfeO
Zymos_Ec_00043	CDS	966	glk	2.7.1.2	COG0837	Glucokinase
Zymos_Ec_00044	CDS	327	fryB_1	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
Zymos_Ec_00045	CDS	1248	fryC		COG1299	Fructose-like permease IIC component 1
Zymos_Ec_00046	CDS	1086	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
Zymos_Ec_00047	CDS	1038	ypdE	3.4.11.-	COG1363	Aminopeptidase YpdE
Zymos_Ec_00048	CDS	2496	fryA_1		COG1080	Multiphosphoryl transfer protein 1
Zymos_Ec_00049	CDS	858	rhaR_1			HTH-type transcriptional activator RhaR
Zymos_Ec_00050	CDS	735	ypdB		COG3279	Transcriptional regulatory protein YpdB
Zymos_Ec_00051	CDS	1698	ypdA	2.7.13.3	COG3275	Sensor histidine kinase YpdA
Zymos_Ec_00052	CDS	1239	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
Zymos_Ec_00053	CDS	921	lpxP	2.3.1.242	COG1560	Lipid A biosynthesis palmitoleoyltransferase
Zymos_Ec_00054	CDS	243				hypothetical protein
Zymos_Ec_00055	CDS	276				hypothetical protein
Zymos_Ec_00056	CDS	636	yfdX			Protein YfdX
Zymos_Ec_00057	CDS	1251	frc	2.8.3.16	COG1804	Formyl-CoA:oxalate CoA-transferase
Zymos_Ec_00058	CDS	1695	oxc	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
Zymos_Ec_00059	CDS	945				hypothetical protein
Zymos_Ec_00060	CDS	1146	yfdE	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
Zymos_Ec_00061	CDS	3594	evgS	2.7.13.3	COG0784	Sensor protein EvgS
