locus_tag	ftype	length_bp	gene	EC_number	COG	product
Zymos_Se_00001	CDS	354				hypothetical protein
Zymos_Se_00002	CDS	402				IS3 family transposase ISSen1
Zymos_Se_00003	CDS	1119	ydiK		COG0628	Putative transport protein YdiK
Zymos_Se_00004	CDS	3057			COG0247	putative protein
Zymos_Se_00005	CDS	411	menI	3.1.2.28	COG2050	1,4-dihydroxy-2-naphthoyl-CoA hydrolase
Zymos_Se_00006	CDS	189				hypothetical protein
Zymos_Se_00007	CDS	1347	tcyP_1		COG1823	L-cystine uptake protein TcyP
Zymos_Se_00008	CDS	369	sufA		COG0316	Protein SufA
Zymos_Se_00009	CDS	1488	sufB		COG0719	FeS cluster assembly protein SufB
Zymos_Se_00010	CDS	747	sufC		COG0396	putative ATP-dependent transporter SufC
Zymos_Se_00011	CDS	1272	sufD		COG0719	FeS cluster assembly protein SufD
Zymos_Se_00012	CDS	1221	sufS	2.8.1.7	COG0520	Cysteine desulfurase
Zymos_Se_00013	CDS	417	sufE		COG2166	Cysteine desulfuration protein SufE
Zymos_Se_00014	CDS	1002	ynhG	2.-.-.-	COG1376	putative L,D-transpeptidase YnhG
Zymos_Se_00015	CDS	240	lpp1_1			Major outer membrane lipoprotein Lpp 1
Zymos_Se_00016	CDS	306	lpp			Major outer membrane lipoprotein Lpp
Zymos_Se_00017	CDS	237	lpp1_2			Major outer membrane lipoprotein Lpp 1
Zymos_Se_00018	CDS	1413	pykF	2.7.1.40	COG0469	Pyruvate kinase I
Zymos_Se_00019	CDS	1344	puuP		COG0531	Putrescine importer PuuP
Zymos_Se_00020	CDS	894	laaA	3.5.1.101		L-amino acid amidase
Zymos_Se_00021	CDS	738				hypothetical protein
Zymos_Se_00022	CDS	1227	RBKS_1	2.7.1.15		Ribokinase
Zymos_Se_00023	CDS	3063	ttrA	1.8.-.-	COG0243	Tetrathionate reductase subunit A
Zymos_Se_00024	CDS	1023	ttrC			Tetrathionate reductase subunit C
Zymos_Se_00025	CDS	735	ttrB		COG0437	Tetrathionate reductase subunit B
Zymos_Se_00026	CDS	1779	ttrS	2.7.13.3	COG0642	Tetrathionate sensor histidine kinase TtrS
Zymos_Se_00027	CDS	621	ttrR		COG4566	Tetrathionate response regulatory protein TtrR
Zymos_Se_00028	CDS	213	fumD	4.2.1.2		Fumarase D
Zymos_Se_00029	CDS	960				hypothetical protein
Zymos_Se_00030	CDS	729	mlrA_1		COG0789	HTH-type transcriptional regulator MlrA
Zymos_Se_00031	CDS	639	nreC		COG2197	Oxygen regulatory protein NreC
Zymos_Se_00032	CDS	2763	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
Zymos_Se_00033	CDS	384	spiC			Salmonella pathogenicity island 2 protein C
