locus_tag	ftype	length_bp	gene	EC_number	COG	product
Zymos_Pa_00001	CDS	519	hcpA_1		COG3157	Major exported protein
Zymos_Pa_00002	tRNA	77				tRNA-Arg(ccg)
Zymos_Pa_00003	CDS	1452	davD	1.2.1.-	COG1012	Glutarate-semialdehyde dehydrogenase
Zymos_Pa_00004	CDS	1281	davT	2.6.1.48	COG0160	5-aminovalerate aminotransferase DavT
Zymos_Pa_00005	CDS	1200				hypothetical protein
Zymos_Pa_00006	CDS	1422	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
Zymos_Pa_00007	CDS	438				hypothetical protein
Zymos_Pa_00008	CDS	408				hypothetical protein
Zymos_Pa_00009	CDS	285				hypothetical protein
Zymos_Pa_00010	CDS	933	pcpR_1			PCP degradation transcriptional activation protein
Zymos_Pa_00011	CDS	1215	yycB_1		COG2807	putative transporter YycB
Zymos_Pa_00012	CDS	771				hypothetical protein
Zymos_Pa_00013	CDS	687	crp		COG0664	CRP-like cAMP-activated global transcriptional regulator
Zymos_Pa_00014	CDS	516				hypothetical protein
Zymos_Pa_00015	CDS	759	ycaL	3.4.-.-	COG0501	Metalloprotease YcaL
Zymos_Pa_00016	CDS	753				hypothetical protein
Zymos_Pa_00017	CDS	699				hypothetical protein
Zymos_Pa_00018	CDS	990	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
Zymos_Pa_00019	CDS	870	cysW		COG4208	Sulfate transport system permease protein CysW
Zymos_Pa_00020	CDS	819	cysT		COG0555	Sulfate transport system permease protein CysT
Zymos_Pa_00021	CDS	999	sbp_1		COG1613	Sulfate-binding protein
Zymos_Pa_00022	CDS	183				hypothetical protein
Zymos_Pa_00023	CDS	2283				hypothetical protein
Zymos_Pa_00024	CDS	1179				hypothetical protein
Zymos_Pa_00025	CDS	1386	putP_1			Sodium/proline symporter
Zymos_Pa_00026	CDS	957	gpuA	3.5.3.17	COG0010	Guanidinopropionase
Zymos_Pa_00027	CDS	963				hypothetical protein
Zymos_Pa_00028	CDS	972				hypothetical protein
Zymos_Pa_00029	CDS	1383	nicP_1			Porin-like protein NicP
Zymos_Pa_00030	CDS	1107	aguA	3.5.3.12	COG2957	Agmatine deiminase
Zymos_Pa_00031	CDS	879		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
Zymos_Pa_00032	CDS	666				hypothetical protein
Zymos_Pa_00033	CDS	1062	potF_1		COG0687	Putrescine-binding periplasmic protein
Zymos_Pa_00034	CDS	1377	puuA_1	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
Zymos_Pa_00035	CDS	753	puuD	3.5.1.94	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
Zymos_Pa_00036	CDS	1359	puuA_2	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
Zymos_Pa_00037	CDS	1371	spuC_1	2.6.1.113	COG0161	Putrescine--pyruvate aminotransferase
Zymos_Pa_00038	CDS	1104	spuD_1		COG0687	Putrescine-binding periplasmic protein SpuD
